eastwest,german,sex,age,agec,dg10,dg03,educ,isced97,iscd11,work,isco08,siops08,isei08,dw15,dw16,dw19c,dw03,mstat,dp01,di01a,di02a,incc,di01b,di02b,di05,di06,hhincc,dh01,dh11,aq01,gs01,gd01,gd02,dg13,dg08,dg09,dg11,ls01,id02,id01,im01,im17,im18,im19,im20,im21,iw04,pd11,pi07,pi01,pi02,lp03,lp04,lp05,lp06,hs01,hs04,hs05,hs06,hs07,hs09,land,bik,gkpol
1,1,1,26,1,9,4,5,5,6,1,3341,48.81,62.13,41,1,NA,NA,5,1,2200,NA,15,4200,NA,4200,NA,21,1,1,4,4,2019,2,1,2,NA,2,8,3,3,NA,2,2,2,2,3,1,2,NA,1,3,1,2,1,1,2,NA,NA,NA,NA,NA,50,3,3
1,1,2,73,4,11,4,5,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,18,18,NA,24,NA,24,24,1,1,7,3,NA,NA,NA,NA,NA,NA,9,4,4,2,2,2,3,4,4,2,1,2,1,2,1,2,2,2,1,3,5,2,2,5,10,8,5
1,1,2,24,1,7,4,4,4,4,1,3412,49,52.72,39.5,1,NA,NA,5,1,NA,14,14,NA,21,NA,21,21,1,1,4,2,2021,0,1,2,NA,1,8,NA,2,NA,2,2,3,3,3,1,1,NA,2,NA,1,1,1,2,2,NA,NA,NA,NA,NA,30,9,5
1,1,1,77,5,1,4,4,5,7,4,NA,NA,NA,NA,NA,NA,2,5,2,NA,16,16,NA,NA,NA,16,16,2,NA,4,3,9000,77,NA,1,NA,1,NA,3,3,NA,2,2,1,2,3,2,2,NA,1,3,1,2,1,1,4,NA,NA,NA,NA,NA,80,10,4
2,1,2,22,1,15,1,4,5,6,3,NA,NA,NA,NA,NA,NA,1,5,1,NA,7,7,NA,15,NA,15,15,1,1,4,1,NA,NA,NA,NA,NA,NA,9,3,2,1,NA,2,3,2,3,3,1,2,2,NA,1,2,1,1,1,3,4,3,3,5,140,10,7
1,1,1,25,1,1,4,5,5,6,1,1221,52,71.39,40,1,4,NA,5,2,1200,NA,10,NA,NA,NA,NA,NA,1,3,1,1,2021,0,5,1,NA,1,8,3,3,NA,2,2,4,4,4,1,2,NA,1,3,2,1,2,2,1,NA,NA,NA,NA,NA,90,8,5
2,1,2,69,4,12,1,5,5,7,4,NA,NA,NA,NA,NA,NA,2,4,2,NA,12,12,NA,NA,NA,12,12,2,NA,7,4,1984,37,1,NA,2,2,5,3,2,NA,2,4,2,3,3,1,2,NA,1,2,1,1,1,1,4,NA,NA,NA,NA,NA,120,3,3
1,1,1,54,3,8,4,2,3,3,1,9333,20.3,17.69,37.5,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,3,NA,NA,NA,NA,NA,NA,9,2,3,1,2,3,NA,NA,2,2,2,2,2,NA,1,2,1,NA,2,3,4,2,3,5,50,4,4
2,1,1,82,5,14,1,5,6,8,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,12,12,NA,16,NA,16,16,1,1,7,3,NA,NA,NA,NA,NA,NA,5,3,3,NA,4,4,2,2,1,1,1,NA,2,NA,2,2,1,1,4,4,5,2,4,5,130,4,4
2,1,2,49,3,13,1,4,5,7,1,4110,42.09,43.33,39.5,1,NA,NA,1,NA,NA,14,14,NA,23,NA,23,23,1,4,7,3,NA,NA,NA,NA,NA,NA,9,3,3,2,3,2,3,4,4,2,1,2,1,3,1,2,1,2,1,4,3,2,3,5,120,9,4
1,1,2,67,4,8,4,2,2,2,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,9,3,3,2,1,2,2,1,3,2,1,2,1,2,1,1,1,1,2,4,3,4,3,4,50,8,6
1,1,2,55,3,10,4,5,5,7,1,NA,NA,NA,NA,1,6,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,3,NA,NA,NA,2,NA,2,10,4,3,2,4,1,4,4,4,1,1,2,1,2,1,1,1,1,2,5,5,2,2,5,100,7,3
1,1,1,61,4,9,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,2000,NA,15,3000,NA,3000,NA,19,1,2,7,4,NA,NA,NA,NA,NA,NA,4,2,1,NA,1,3,4,2,4,2,2,2,1,3,1,2,1,1,3,4,3,2,2,5,70,7,1
1,1,1,74,4,8,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,15,15,NA,17,NA,17,17,1,1,3,3,NA,NA,NA,NA,NA,NA,8,1,NA,NA,2,3,2,2,3,2,1,2,1,2,1,2,1,1,5,3,4,4,5,5,50,9,4
1,1,1,53,3,18,NA,5,5,7,1,NA,NA,NA,40,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,3,3,3,3,3,2,1,1,1,2,1,2,1,1,2,3,4,2,3,5,90,10,7
1,1,2,61,4,1,4,2,3,3,2,5223,42.78,28.48,31.5,1,NA,NA,1,NA,NA,9,9,NA,22,NA,22,22,1,1,7,4,2005,16,1,2,NA,1,9,3,3,NA,4,4,1,1,4,3,1,NA,1,3,2,2,1,2,2,NA,NA,NA,NA,NA,80,7,3
1,1,2,26,1,7,4,5,5,7,1,3412,49,52.72,39,3,2,NA,5,2,NA,14,14,NA,23,NA,23,23,1,2,7,3,NA,NA,NA,NA,NA,NA,8,4,2,2,2,2,3,3,3,2,2,2,1,2,2,2,2,2,2,3,4,3,3,3,30,3,3
2,1,2,90,6,12,1,2,3,3,4,NA,NA,NA,NA,NA,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,5,1998,23,1,NA,2,2,8,2,3,1,1,4,2,1,1,1,1,2,2,NA,1,2,2,2,3,5,5,2,4,5,120,5,2
1,3,1,46,3,95,NA,1,1,1,1,NA,NA,NA,35,1,6,NA,1,NA,NA,13,13,NA,15,NA,15,15,1,5,3,4,2017,4,1,NA,NA,2,7,2,3,NA,4,2,1,1,2,1,1,NA,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,80,5,2
1,1,2,52,3,2,4,5,5,7,2,2341,57,76.49,35,1,NA,NA,1,NA,3700,NA,20,8500,NA,8500,NA,25,1,4,7,4,2008,13,1,1,NA,1,9,4,4,2,3,1,3,3,4,1,1,2,NA,NA,1,2,1,1,1,3,3,3,3,5,90,9,1
1,NA,2,68,4,1,4,5,5,7,3,NA,NA,NA,NA,NA,NA,2,3,1,2300,NA,16,NA,NA,2300,NA,16,2,NA,5,4,NA,NA,NA,NA,NA,NA,9,3,3,NA,3,4,3,4,4,2,2,1,2,NA,1,NA,1,2,1,3,4,2,2,5,80,8,5
1,1,1,29,1,8,4,5,5,7,1,3341,48.81,62.13,44.5,1,NA,NA,5,1,2500,NA,17,3800,NA,3800,NA,20,1,1,4,1,NA,NA,NA,NA,NA,NA,7,4,4,1,3,4,1,1,2,2,2,1,1,1,2,2,1,2,2,3,4,2,3,4,50,8,6
1,1,2,38,2,6,4,3,3,3,1,4110,42.09,43.33,38.5,1,NA,NA,1,NA,NA,14,14,NA,20,NA,20,20,1,1,6,3,9000,38,NA,2,NA,2,8,3,3,1,3,2,3,4,3,1,1,2,1,3,2,2,1,2,2,3,3,2,2,5,60,7,3
2,1,1,65,4,15,1,2,3,3,3,NA,NA,NA,NA,NA,NA,2,4,1,NA,5,5,NA,NA,NA,5,5,2,NA,3,4,2000,21,1,NA,2,2,5,2,4,NA,3,3,2,3,3,2,2,NA,1,3,1,2,1,1,3,NA,NA,NA,NA,NA,140,5,2
2,1,2,37,2,13,1,5,5,7,2,NA,NA,NA,34,1,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,2,NA,NA,NA,NA,NA,NA,10,3,3,1,3,2,2,3,3,1,1,2,2,NA,1,2,2,1,1,3,4,2,2,5,120,9,4
1,1,2,59,3,3,4,5,4,4,1,4110,42.09,43.33,42.5,1,NA,NA,4,2,NA,19,19,NA,NA,NA,19,19,2,NA,4,2,9000,59,NA,1,NA,1,8,3,3,NA,4,2,4,4,4,3,1,NA,1,3,1,1,1,1,1,NA,NA,NA,NA,NA,40,10,7
1,2,2,23,1,1,4,5,5,6,3,NA,NA,NA,NA,NA,NA,1,5,2,NA,3,3,NA,NA,NA,3,3,2,NA,4,1,2017,4,6,2,NA,1,6,4,3,2,2,1,2,3,3,1,1,2,1,3,1,1,1,1,1,2,4,3,3,4,80,10,6
2,1,1,56,3,1,3,3,3,3,1,2522,51,75.13,40,1,NA,NA,4,2,NA,17,17,NA,NA,NA,17,17,2,NA,4,1,2017,4,5,NA,1,1,6,3,2,NA,3,3,2,3,3,3,3,NA,2,NA,1,2,1,1,3,NA,NA,NA,NA,NA,140,10,7
1,1,1,83,5,6,4,4,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,18,18,NA,18,NA,18,18,1,1,7,2,NA,NA,NA,NA,NA,NA,9,3,3,2,1,2,2,2,3,2,1,1,1,2,1,2,2,1,3,3,3,2,3,5,60,8,6
2,1,1,50,3,15,1,3,3,3,1,7411,44.01,36.35,40,1,NA,NA,5,2,NA,12,12,NA,NA,NA,12,12,2,NA,4,2,2012,9,3,NA,2,2,5,2,1,1,2,3,2,3,4,1,3,2,1,2,1,1,1,1,2,4,3,4,3,2,140,5,2
2,1,1,71,4,16,1,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,16,NA,16,16,1,1,7,4,2008,13,1,NA,2,2,9,2,3,1,2,4,2,1,1,2,2,1,1,2,1,2,1,1,2,5,5,1,NA,5,150,7,5
2,1,1,62,4,18,NA,3,3,3,1,7412,38,36.92,40,1,NA,NA,1,NA,NA,13,13,NA,19,NA,19,19,1,2,7,3,9000,62,NA,NA,2,2,7,3,2,NA,2,4,3,3,3,1,1,NA,1,2,1,1,1,2,3,NA,NA,NA,NA,NA,160,4,4
1,1,2,56,3,6,4,5,5,7,1,1222,52.36,75.25,50,3,NA,NA,1,NA,NA,24,24,NA,26,NA,26,26,1,3,7,3,2005,16,6,2,NA,1,7,4,3,2,3,4,2,2,3,2,2,1,1,2,1,2,1,1,2,1,2,4,4,5,60,7,3
2,1,1,54,3,15,1,3,5,5,1,1330,61.15,78.86,40,1,NA,NA,1,NA,NA,15,15,NA,21,NA,21,21,1,1,7,4,2003,18,1,NA,2,2,9,3,3,1,2,3,2,3,3,1,2,1,1,1,2,2,1,1,2,3,4,2,2,5,140,5,2
1,1,1,56,3,8,4,4,5,5,1,NA,NA,NA,50,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7,4,1995,26,1,2,NA,2,7,3,3,NA,3,3,3,3,3,1,2,NA,2,NA,1,1,1,1,3,NA,NA,NA,NA,NA,50,7,4
1,1,1,51,3,2,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,14,NA,14,14,1,1,3,3,1996,25,1,2,NA,2,3,2,2,1,2,3,4,2,3,1,2,1,2,NA,1,1,1,1,5,3,2,4,5,4,90,7,4
1,1,2,66,4,8,4,5,5,7,4,NA,NA,NA,NA,NA,NA,2,5,2,2000,NA,15,NA,NA,2000,NA,15,2,NA,4,3,NA,NA,NA,NA,NA,NA,7,3,2,2,2,1,4,4,4,1,2,2,1,3,2,2,2,2,2,3,3,3,3,3,60,8,6
2,1,2,37,2,12,1,5,4,4,2,8332,33,25.95,80,1,6,NA,4,2,NA,8,8,NA,12,NA,12,12,1,1,3,3,9000,37,NA,NA,1,2,NA,3,2,NA,3,2,3,3,3,3,2,NA,1,2,1,1,1,2,2,NA,NA,NA,NA,NA,120,4,4
1,1,2,25,1,9,4,3,2,2,4,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,15,NA,15,15,1,2,5,4,NA,NA,NA,NA,NA,NA,7,NA,1,2,1,1,3,3,2,1,3,2,1,3,1,1,1,1,3,1,1,3,4,1,70,9,3
2,1,2,79,5,15,1,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,8,8,NA,16,NA,16,16,1,1,3,3,1962,59,1,NA,2,2,9,2,3,NA,1,1,1,2,2,1,2,NA,1,2,1,2,2,2,3,NA,NA,NA,NA,NA,140,3,3
2,1,1,53,3,15,1,5,5,7,1,4323,32.49,41.27,43.5,1,4,NA,5,1,2000,NA,15,NA,NA,2000,NA,15,2,NA,4,2,1970,51,4,NA,1,1,7,3,2,2,2,2,4,4,3,1,2,2,1,3,2,2,1,1,3,2,2,3,4,3,140,10,7
2,1,1,52,3,14,1,5,5,7,1,2149,55,78.69,43,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,5,2,2001,20,6,NA,2,2,9,3,3,NA,3,2,3,3,3,2,1,NA,2,NA,1,2,2,2,3,NA,NA,NA,NA,NA,140,8,6
2,1,1,51,3,1,3,5,5,7,1,2641,56.92,72.83,42,NA,NA,NA,1,NA,NA,22,22,NA,23,NA,23,23,1,3,4,1,1999,22,6,NA,NA,1,3,3,3,NA,3,3,2,4,3,2,1,NA,1,2,1,1,1,1,2,NA,NA,NA,NA,NA,112,10,7
2,1,1,60,4,15,1,3,3,3,1,3122,45.94,40.54,45,1,NA,NA,1,NA,1700,NA,13,3500,NA,3500,NA,20,1,1,3,1,9000,60,NA,NA,2,2,8,2,2,NA,3,3,2,2,3,1,2,NA,1,2,2,2,1,2,2,NA,NA,NA,NA,NA,140,10,7
1,1,1,57,3,10,4,3,3,3,1,9329,21.08,16.36,37.5,3,NA,NA,1,NA,NA,14,14,NA,17,NA,17,17,1,1,1,3,2000,21,1,2,NA,1,4,2,2,NA,3,4,1,2,3,2,2,NA,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,100,7,3
1,2,2,73,4,95,NA,5,4,4,3,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,3,NA,3,3,1,NA,7,4,1991,30,2,1,NA,1,8,4,2,NA,2,1,3,2,2,1,3,NA,2,NA,1,1,1,1,4,NA,NA,NA,NA,NA,90,9,2
1,1,2,42,2,3,4,4,4,4,2,9333,20.3,17.69,25,1,NA,NA,1,NA,NA,8,8,NA,20,NA,20,20,1,3,7,4,2001,20,1,2,NA,2,10,2,3,1,1,3,4,4,3,1,1,1,1,3,1,1,2,1,2,1,3,3,2,5,30,9,3
1,1,1,55,3,1,4,5,5,7,1,1349,75,65.01,50,1,NA,NA,1,NA,NA,25,25,NA,25,NA,25,25,1,1,7,2,2008,13,1,1,NA,1,8,4,4,NA,2,3,2,3,3,2,1,NA,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,80,7,3
1,1,2,79,5,8,4,3,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,2,2,NA,18,NA,18,18,1,1,7,2,1946,75,1,2,NA,2,9,3,3,1,2,3,2,1,2,2,1,1,1,2,1,2,1,1,3,2,3,3,4,4,50,8,6
1,1,1,60,4,8,4,3,3,3,1,9629,24,27.91,39.5,1,NA,NA,5,1,NA,14,14,NA,NA,NA,14,14,2,NA,NA,3,1998,23,2,2,NA,1,7,2,3,1,2,2,2,2,3,2,1,1,1,2,2,2,2,2,2,3,5,2,2,4,50,8,6
1,1,1,56,3,8,4,5,5,7,1,4110,42.09,43.33,55,1,NA,NA,1,NA,NA,13,13,NA,17,NA,17,17,1,1,4,3,NA,NA,NA,NA,NA,NA,9,2,3,1,2,2,3,3,3,2,2,1,2,NA,1,2,1,1,1,3,4,3,2,5,50,10,6
1,1,2,73,4,95,NA,2,3,3,4,NA,NA,NA,NA,NA,NA,2,3,2,NA,7,7,NA,NA,NA,7,7,2,NA,4,3,2002,19,1,2,NA,2,10,1,2,2,2,1,4,4,4,1,1,2,1,3,1,2,1,1,3,5,4,1,4,2,30,7,3
1,1,2,80,5,1,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1984,37,3,2,NA,2,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,1,1,3,NA,NA,NA,NA,NA,80,10,7
2,1,2,66,4,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,2,2,2,3,3,1,2,NA,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,130,7,1
1,3,1,52,3,95,NA,NA,5,7,1,9333,20.3,17.69,40,1,5,NA,1,NA,NA,9,9,NA,20,NA,20,20,1,3,1,3,2020,1,5,1,NA,2,8,3,3,NA,1,2,2,1,2,1,1,NA,1,2,2,2,2,2,1,NA,NA,NA,NA,NA,60,3,3
1,1,2,52,3,2,4,4,5,6,1,7543,38.81,43.19,42,1,NA,NA,1,NA,NA,14,14,NA,23,NA,23,23,1,2,7,4,1999,22,2,1,NA,1,8,4,3,2,2,2,3,3,2,2,2,2,1,3,2,2,2,1,2,2,3,3,4,3,90,9,2
2,1,1,36,2,15,1,3,3,3,1,3341,48.81,62.13,47,1,NA,NA,1,NA,NA,19,19,NA,22,NA,22,22,1,3,6,2,2015,6,1,NA,2,2,9,3,3,NA,3,3,2,1,2,2,2,NA,1,2,1,2,2,1,2,NA,NA,NA,NA,NA,140,9,3
2,1,NA,NA,NA,15,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,10,10,NA,17,NA,17,17,1,2,4,1,NA,NA,NA,NA,NA,NA,8,NA,NA,2,1,1,4,4,4,1,4,2,1,3,1,2,1,1,3,3,4,2,2,5,140,10,7
2,1,2,23,1,15,1,3,3,3,1,2423,55.8,68.55,40,1,NA,NA,1,NA,NA,12,12,NA,19,NA,19,19,1,1,4,1,NA,NA,NA,NA,NA,NA,7,2,3,2,2,1,3,3,3,1,1,1,1,1,1,NA,1,2,3,2,2,3,3,5,140,10,7
1,1,2,55,3,11,4,2,3,3,1,4110,42.09,43.33,39.5,1,NA,NA,4,2,NA,15,15,NA,16,NA,16,16,1,1,7,2,9000,55,NA,2,NA,2,7,3,2,1,2,2,3,3,4,1,2,1,1,1,1,1,1,1,2,3,2,3,3,3,10,7,3
1,1,1,62,4,1,4,2,5,5,1,3323,48.86,56.35,40,1,NA,NA,1,NA,NA,12,12,NA,16,NA,16,16,1,1,5,4,2010,11,3,1,NA,1,7,3,4,NA,3,4,4,3,4,2,2,NA,1,2,1,2,1,1,4,NA,NA,NA,NA,NA,80,5,2
1,1,2,73,4,11,4,2,2,2,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,7,7,NA,14,NA,14,14,1,1,1,2,NA,NA,NA,NA,NA,NA,8,3,3,2,2,1,3,3,4,2,1,2,1,2,1,1,1,2,3,2,3,4,5,4,80,3,3
2,1,2,56,3,16,1,3,3,3,1,3343,48.81,54.55,45,1,NA,NA,1,NA,NA,15,15,NA,21,NA,21,21,1,1,7,2,NA,NA,NA,NA,NA,NA,3,2,1,1,1,4,3,4,4,1,2,1,1,1,1,1,1,1,2,5,5,1,2,5,120,9,4
2,1,2,54,3,16,1,3,5,5,2,5222,42.78,44.14,30,2,NA,NA,1,NA,NA,12,12,NA,19,NA,19,19,1,1,7,4,1993,28,1,NA,1,2,8,3,3,NA,2,2,3,3,3,2,1,NA,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,150,6,4
2,1,2,68,4,15,1,5,5,5,4,NA,NA,NA,NA,NA,NA,2,4,2,NA,12,12,NA,NA,NA,12,12,2,NA,4,3,1986,35,1,NA,2,2,6,2,2,NA,1,2,3,4,4,1,2,NA,1,3,1,2,1,1,2,NA,NA,NA,NA,NA,140,5,3
1,1,1,64,4,2,4,4,5,7,1,2635,53.89,70.5,39,1,NA,NA,4,1,NA,17,17,NA,NA,NA,17,17,2,NA,4,3,2008,13,1,2,NA,1,8,3,4,NA,3,4,4,2,2,2,1,NA,1,2,2,2,1,1,2,NA,NA,NA,NA,NA,90,8,5
1,1,2,45,3,8,4,3,3,3,1,4110,42.09,43.33,39,1,NA,NA,4,2,NA,15,15,NA,17,NA,17,17,1,2,7,3,NA,NA,NA,NA,NA,NA,6,3,3,2,2,4,3,2,3,2,1,1,1,1,1,2,1,1,2,1,2,3,4,3,50,8,6
2,1,1,32,2,15,1,5,5,7,1,2330,62.63,82.41,37,1,4,NA,1,NA,NA,21,21,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,8,3,2,2,2,4,2,3,3,2,1,1,1,1,1,2,1,1,2,1,3,2,3,3,140,10,7
1,1,1,71,4,8,4,2,3,3,1,3119,46,51.35,60.5,1,5,NA,1,NA,2500,NA,17,NA,NA,2500,NA,17,2,NA,5,1,1982,39,2,2,NA,2,8,3,2,1,1,4,1,1,4,4,2,1,1,1,1,1,1,1,1,4,5,2,2,4,50,8,6
1,1,1,24,1,1,4,4,3,3,4,NA,NA,NA,NA,NA,NA,1,5,1,NA,7,7,NA,21,NA,21,21,1,2,1,1,NA,NA,NA,NA,NA,NA,8,3,1,2,2,1,4,4,4,1,NA,2,1,3,1,1,1,1,2,3,3,2,2,4,80,10,6
1,1,2,40,2,9,4,4,5,7,1,1330,61.15,78.86,46,1,NA,NA,5,1,NA,17,17,NA,23,NA,23,23,1,1,7,4,NA,NA,NA,NA,NA,NA,7,4,3,2,3,2,2,4,3,NA,1,2,2,NA,1,1,1,1,2,2,2,3,4,5,70,9,3
2,1,2,61,4,15,1,3,5,5,3,NA,NA,NA,NA,NA,NA,3,1,NA,NA,5,5,NA,16,NA,16,16,1,1,7,4,1960,61,1,NA,2,2,4,2,1,2,2,2,3,3,4,2,3,1,1,3,1,1,1,1,5,2,1,4,5,3,140,7,4
1,3,1,41,2,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,2015,6,NA,1,NA,2,10,1,3,NA,1,2,2,1,1,1,1,NA,1,2,1,1,2,2,1,NA,NA,NA,NA,NA,10,10,4
2,1,2,80,5,15,1,6,3,3,4,NA,NA,NA,NA,NA,NA,2,5,2,NA,10,10,NA,NA,NA,10,10,2,NA,1,1,9000,80,NA,NA,2,2,4,2,2,2,2,2,1,1,2,1,2,2,1,3,1,2,2,1,3,5,3,3,3,4,140,8,6
2,1,1,58,3,12,1,5,5,7,1,5223,42.78,28.48,50,NA,NA,NA,1,NA,NA,3,3,NA,14,NA,14,14,1,1,4,3,NA,NA,NA,NA,NA,NA,8,2,3,1,3,4,2,2,2,1,1,1,1,1,2,2,2,1,2,2,3,3,4,5,120,9,4
1,1,1,71,4,2,4,2,3,3,3,NA,NA,NA,NA,NA,NA,2,1,NA,NA,10,10,NA,14,NA,14,14,1,1,5,4,2012,9,1,2,NA,2,8,1,2,2,2,1,3,4,3,2,1,2,1,3,1,1,1,1,3,3,3,3,2,3,90,4,2
1,1,1,43,2,1,4,3,3,3,1,2433,48.37,73.91,40,1,2,NA,5,2,NA,15,15,NA,NA,NA,15,15,2,NA,4,4,NA,NA,NA,NA,NA,NA,8,2,3,1,2,2,2,2,3,1,1,1,1,3,1,2,2,2,3,3,3,3,3,2,80,3,3
2,1,1,36,2,15,1,4,4,4,1,3322,47,57.03,48,1,5,NA,5,1,NA,15,15,NA,19,NA,19,19,1,2,4,1,9000,36,NA,NA,2,2,7,3,2,1,3,3,2,2,3,1,2,1,1,2,1,2,1,1,1,3,4,3,2,5,140,10,7
1,1,2,45,3,2,4,5,5,7,2,2411,58.45,76.65,40.5,1,6,NA,1,NA,NA,8,8,NA,25,NA,25,25,1,4,7,2,1999,22,3,2,NA,2,3,4,3,2,2,2,2,2,3,1,1,2,1,2,1,2,1,1,2,3,3,2,2,5,90,7,3
2,1,1,58,3,16,1,5,3,3,2,3122,45.94,40.54,27.5,1,NA,NA,1,NA,900,NA,8,3100,NA,3100,NA,19,1,1,5,2,9000,58,NA,NA,2,1,8,3,2,NA,3,2,3,3,3,1,2,NA,1,3,2,2,2,2,2,NA,NA,NA,NA,NA,150,8,6
1,1,1,46,3,7,4,4,5,5,1,NA,NA,NA,38,1,NA,NA,1,NA,NA,24,24,NA,NA,NA,NA,NA,1,3,7,4,NA,NA,NA,NA,NA,NA,8,3,3,1,4,4,2,2,2,3,2,2,2,NA,1,2,2,1,2,4,3,2,3,4,30,8,5
1,1,1,80,5,2,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2014,7,1,2,NA,2,5,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,10,7
1,1,1,35,2,13,2,5,5,7,1,NA,NA,NA,42.5,1,NA,NA,1,NA,NA,22,22,NA,23,NA,23,23,1,3,6,2,2017,4,6,1,NA,1,9,3,3,NA,3,2,2,2,2,2,1,NA,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,90,10,7
2,1,2,NA,NA,15,1,2,3,3,2,5151,37.03,25.2,29.5,1,4,NA,1,NA,NA,7,7,NA,18,NA,18,18,1,2,1,3,2008,13,1,NA,NA,2,NA,NA,2,NA,NA,NA,NA,3,4,1,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,140,7,4
2,1,1,80,5,16,1,3,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,12,12,NA,16,NA,16,16,1,1,8,1,1978,43,NA,NA,NA,2,7,3,3,NA,2,2,3,3,3,2,2,NA,1,1,2,2,1,1,3,NA,NA,NA,NA,NA,150,8,6
1,1,2,83,5,95,NA,5,6,8,4,NA,NA,NA,NA,NA,NA,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,2,2017,4,2,2,NA,2,8,3,2,NA,1,3,1,2,2,1,1,NA,1,2,2,1,2,1,3,NA,NA,NA,NA,NA,50,10,4
2,1,1,53,3,17,1,4,5,7,1,3143,49,54.86,40,1,NA,NA,1,NA,NA,20,20,NA,22,NA,22,22,1,1,7,5,1989,32,1,NA,1,1,7,2,3,1,3,3,4,3,3,2,1,2,1,2,2,2,2,2,3,3,4,2,2,4,160,4,4
2,1,1,41,2,12,1,3,3,3,1,4412,30.05,27.52,38.5,1,NA,NA,5,2,NA,13,13,NA,NA,NA,13,13,2,NA,3,3,NA,NA,NA,NA,NA,NA,3,3,4,1,2,1,2,2,3,1,2,1,1,1,1,1,1,1,2,3,3,3,3,3,120,10,4
1,1,1,20,1,8,4,5,3,3,3,NA,NA,NA,NA,NA,NA,1,5,2,380,NA,3,NA,NA,NA,NA,NA,1,4,5,3,NA,NA,NA,NA,NA,NA,3,3,NA,2,3,3,2,3,4,1,2,2,2,NA,NA,1,NA,1,3,2,2,4,5,3,50,7,4
2,1,2,55,3,16,1,4,5,5,1,3412,49,52.72,37,NA,NA,NA,1,NA,NA,14,14,NA,19,NA,19,19,1,1,4,1,NA,NA,NA,NA,NA,NA,8,2,2,2,2,2,4,4,4,1,2,2,1,3,1,2,1,2,2,3,4,2,2,4,112,10,7
2,1,1,47,3,14,1,3,3,3,1,4311,34,50.37,42,3,NA,NA,5,2,NA,13,13,NA,NA,NA,13,13,2,NA,4,1,9000,47,NA,NA,1,2,5,2,2,2,2,3,2,2,3,2,2,1,1,2,1,1,1,1,2,3,3,2,3,3,130,8,5
1,1,1,77,5,2,4,5,5,7,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,17,17,NA,23,NA,23,23,1,1,7,1,1975,46,NA,2,NA,2,8,3,4,2,1,1,3,2,4,1,2,2,1,3,1,2,2,2,3,4,5,2,3,5,90,8,6
