eastwest,german,sex,age,agec,dg10,dg03,educ,isced97,iscd11,work,isco08,siops08,isei08,dw15,dw16,dw19c,dw03,mstat,dp01,di01a,di02a,incc,di01b,di02b,di05,di06,hhincc,dh01,dh11,aq01,gs01,gd01,gd02,dg13,dg08,dg09,dg11,ls01,id02,id01,im01,im17,im18,im19,im20,im21,iw04,pd11,pi07,pi01,pi02,lp03,lp04,lp05,lp06,hs01,hs04,hs05,hs06,hs07,hs09,land,bik,gkpol
1,1,1,26,1,6,4,5,5,7,1,2411,58.45,76.65,45,1,NA,NA,5,2,2400,NA,16,NA,NA,2400,NA,16,2,NA,4,1,2019,2,5,2,NA,2,6,4,3,2,3,3,2,3,3,1,1,1,2,NA,2,2,2,2,1,3,4,2,3,3,60,10,7
1,1,2,83,5,1,4,3,3,3,4,NA,NA,NA,NA,NA,NA,2,3,2,4000,NA,21,NA,NA,4000,NA,21,2,NA,7,2,1985,36,1,2,NA,2,4,4,3,NA,3,3,2,2,3,2,1,NA,1,1,1,2,1,1,3,NA,NA,NA,NA,NA,80,10,6
1,1,1,48,3,2,4,5,5,7,1,2330,62.63,82.41,40,1,NA,NA,1,NA,4500,NA,22,6000,NA,6000,NA,24,1,3,7,4,NA,NA,NA,NA,NA,NA,9,4,4,2,3,2,4,3,4,1,2,2,1,3,2,2,2,2,1,2,4,3,2,5,90,7,3
2,1,2,48,3,17,1,NA,5,7,2,3412,49,52.72,23,1,NA,NA,5,1,NA,17,17,NA,NA,NA,17,17,2,NA,4,4,9000,48,NA,NA,1,1,3,3,2,NA,3,4,3,3,4,2,2,NA,1,2,1,1,1,1,3,NA,NA,NA,NA,NA,160,3,3
2,1,2,73,4,17,1,5,5,5,4,NA,NA,NA,NA,NA,NA,2,1,NA,1300,NA,11,NA,NA,1300,NA,11,2,NA,7,3,1969,52,1,NA,2,2,8,3,3,2,2,3,4,3,3,1,1,2,1,2,2,2,2,1,3,3,4,2,2,5,160,2,2
2,1,1,62,4,12,1,3,3,3,1,5414,27.89,23.8,40,2,NA,NA,1,NA,NA,14,14,NA,16,NA,16,16,1,1,3,3,1961,60,5,NA,2,2,3,2,1,NA,1,4,1,1,3,1,3,NA,1,1,1,2,1,1,3,NA,NA,NA,NA,NA,120,9,4
1,2,1,25,1,1,4,5,5,7,1,2149,55,78.69,40,3,4,NA,5,2,NA,18,18,NA,NA,NA,18,18,2,NA,4,2,NA,NA,NA,NA,NA,NA,7,3,2,2,1,2,4,4,3,1,2,2,1,3,1,2,2,1,3,2,2,3,3,2,80,10,4
2,1,1,54,3,3,3,3,3,3,1,7412,38,36.92,38.5,1,NA,NA,5,2,2500,NA,17,NA,NA,2500,NA,17,2,NA,4,2,1997,24,1,NA,1,1,7,2,2,NA,3,3,3,3,3,2,2,NA,1,3,1,1,1,1,2,NA,NA,NA,NA,NA,120,10,4
1,1,2,54,3,14,2,3,3,3,1,2212,78.01,81.92,37.5,1,NA,NA,1,NA,NA,17,17,NA,20,NA,20,20,1,1,7,3,NA,NA,NA,NA,NA,NA,8,2,3,2,1,2,3,3,3,2,2,1,1,2,NA,NA,1,1,2,3,4,2,3,4,10,4,3
2,1,1,51,3,15,1,3,3,3,1,8332,33,25.95,50,1,NA,NA,1,NA,1500,NA,13,2500,NA,2500,NA,17,1,1,4,3,9000,51,NA,NA,2,2,7,2,2,1,1,1,2,1,4,1,2,1,2,NA,1,1,1,1,2,2,4,3,3,5,140,9,3
2,1,2,60,4,16,1,5,5,7,2,1112,66.84,78.76,30,1,NA,NA,1,NA,NA,13,13,NA,22,NA,22,22,1,1,7,4,NA,NA,NA,NA,NA,NA,7,3,NA,2,2,3,3,3,3,2,3,1,2,NA,1,2,1,2,3,2,3,3,3,4,150,4,1
1,1,1,49,3,2,4,3,3,3,1,8171,28,27.25,39,3,NA,NA,1,NA,NA,18,18,NA,23,NA,23,23,1,1,7,3,1972,49,2,2,NA,1,9,4,3,2,2,3,2,2,1,2,1,1,1,2,2,2,2,2,2,4,4,2,2,5,90,7,4
1,1,2,57,3,1,4,2,3,3,4,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,16,NA,16,16,1,1,7,3,1989,32,1,2,NA,2,9,2,3,2,3,3,3,2,3,2,2,1,1,1,2,2,2,1,4,3,4,2,3,5,80,7,3
2,1,1,58,3,15,1,5,5,7,1,3341,48.81,62.13,40,1,NA,NA,1,NA,4700,NA,22,6100,NA,6100,NA,24,1,1,7,4,1995,26,1,NA,2,2,9,3,3,NA,2,1,3,3,4,2,2,NA,1,2,1,2,1,2,2,NA,NA,NA,NA,NA,120,9,4
1,1,2,58,3,1,4,5,5,7,1,4110,42.09,43.33,40,1,NA,NA,1,NA,NA,17,17,NA,19,NA,19,19,1,1,7,4,9000,58,NA,2,NA,2,7,3,2,1,2,3,3,2,3,2,2,2,1,3,1,2,1,2,2,2,3,4,3,5,80,7,3
