respid,eastwest,german,sex,age,agec,dg10,dg03,educ,isced97,iscd11,work,isco08,siops08,isei08,dw15,dw16,dw19c,dw03,mstat,dp01,di01a,di02a,incc,di01b,di02b,di05,di06,hhincc,dh01,dh11,aq01,gs01,gd01,gd02,dg13,dg08,dg09,dg11,ls01,id02,id01,im01,im17,im18,im19,im20,im21,iw04,pd11,pi07,pi01,pi02,lp03,lp04,lp05,lp06,hs01,hs04,hs05,hs06,hs07,hs09,land,bik,gkpol
2036,1,1,1,72,4,11,4,3,3,3,4,NA,NA,NA,NA,NA,NA,2,4,2,NA,14,14,NA,NA,NA,14,14,2,NA,6,2,2006,15,1,2,NA,2,8,3,3,NA,2,3,3,4,3,3,2,NA,1,2,1,2,1,2,3,NA,NA,NA,NA,NA,10,10,4
2037,1,1,2,68,4,9,4,5,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,15,15,NA,23,NA,23,23,1,1,7,3,NA,NA,NA,NA,NA,NA,9,4,3,2,2,2,2,3,3,2,1,2,1,2,2,2,2,2,2,3,4,2,2,5,80,7,3
2038,2,1,2,60,4,14,1,3,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,7,7,NA,16,NA,16,16,1,1,7,2,1979,42,4,NA,2,1,3,3,1,NA,2,1,1,4,4,1,2,NA,1,3,1,1,1,1,4,NA,NA,NA,NA,NA,112,10,7
2039,2,1,1,57,3,12,1,5,3,3,1,8322,30.76,30.34,35,3,3,NA,1,NA,NA,11,11,NA,19,NA,19,19,1,1,4,1,NA,NA,NA,NA,NA,NA,9,2,2,1,1,2,2,4,3,2,1,1,1,1,1,2,1,1,2,3,4,2,2,5,112,10,7
2040,2,1,2,35,2,12,1,5,5,6,4,NA,NA,NA,NA,NA,NA,6,5,1,NA,15,15,NA,23,NA,23,23,1,3,7,3,9000,35,NA,NA,1,2,7,4,2,2,2,3,2,2,2,2,2,1,1,1,2,1,1,1,2,4,3,3,3,4,120,4,4
2041,2,1,2,21,1,15,1,3,3,3,2,3412,49,52.72,35,1,NA,NA,5,1,NA,NA,NA,2000,NA,2000,NA,15,1,1,4,1,2020,1,2,NA,2,1,6,2,3,2,2,2,4,4,4,1,2,2,2,NA,1,1,1,2,2,2,3,3,5,2,140,9,3
2042,1,1,1,60,4,11,4,3,5,5,1,1211,49,73.38,40,1,NA,NA,1,NA,NA,22,22,NA,22,NA,22,22,1,1,7,3,1981,40,4,2,NA,1,7,3,4,NA,3,2,3,2,3,2,1,NA,1,2,2,2,2,2,4,NA,NA,NA,NA,NA,10,9,4
2043,2,1,2,69,4,17,1,4,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,11,11,NA,17,NA,17,17,1,1,NA,NA,NA,NA,NA,NA,NA,NA,7,1,2,NA,1,2,3,4,3,1,2,NA,1,3,1,2,1,1,1,NA,NA,NA,NA,NA,160,NA,5
2044,2,1,2,30,2,17,1,5,5,7,1,1341,73.51,65.01,37,1,NA,NA,5,1,NA,14,14,NA,20,NA,20,20,1,1,4,1,9000,30,NA,NA,2,2,7,3,2,2,2,3,2,3,3,1,1,2,1,2,1,2,1,1,3,3,4,2,4,5,160,8,6
2045,1,1,2,60,4,15,2,4,5,5,1,4110,42.09,43.33,38.5,2,NA,NA,5,2,NA,15,15,NA,16,NA,16,16,1,2,4,3,2000,21,2,1,NA,1,3,2,1,NA,3,4,3,4,4,1,1,NA,1,2,1,1,1,2,3,NA,NA,NA,NA,NA,60,10,4
2046,2,1,2,74,4,16,1,4,5,6,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,14,14,NA,19,NA,19,19,1,1,7,4,NA,NA,NA,NA,NA,NA,7,3,NA,2,1,1,4,3,4,3,1,2,1,3,1,2,1,2,5,5,3,3,5,5,130,1,1
2047,1,3,2,57,3,18,NA,3,5,5,2,5141,32,31.08,20,3,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,3,NA,NA,NA,NA,NA,NA,7,2,3,1,1,2,2,2,2,1,1,1,1,2,1,2,1,1,2,2,2,3,3,4,50,8,6
2048,1,1,2,52,3,7,4,5,5,7,2,2522,51,75.13,20,1,NA,NA,1,NA,NA,14,14,NA,NA,NA,NA,NA,1,3,7,3,NA,NA,NA,NA,NA,NA,9,4,3,2,3,4,1,1,2,2,1,1,1,2,2,2,1,2,1,3,3,2,2,3,30,3,3
2049,1,1,1,24,1,2,4,3,3,3,1,7411,44.01,36.35,40,2,NA,NA,5,1,NA,14,14,NA,19,NA,19,19,1,1,4,4,NA,NA,NA,NA,NA,NA,6,2,2,1,3,1,4,4,4,2,2,2,1,2,1,1,2,2,2,2,2,4,4,4,90,1,1
2050,1,1,1,56,3,95,NA,2,2,2,2,7411,44.01,36.35,20,1,4,NA,1,NA,1000,NA,9,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,1,4,1,1,1,1,1,1,1,2,2,1,2,3,4,4,2,2,4,90,3,3
2051,2,1,2,46,3,18,NA,3,3,3,4,NA,NA,NA,NA,NA,NA,2,4,1,1300,NA,11,2700,NA,2700,NA,17,1,3,3,1,9000,46,NA,NA,2,2,8,2,2,1,3,3,3,2,3,2,1,1,1,2,1,1,1,1,4,3,3,3,3,4,112,10,7
2052,2,1,2,61,4,14,1,3,3,3,1,4110,42.09,43.33,35,1,NA,NA,1,NA,NA,15,15,NA,20,NA,20,20,1,1,7,5,2015,6,1,NA,2,2,9,3,3,NA,2,3,2,2,2,2,1,NA,1,2,2,2,2,2,3,NA,NA,NA,NA,NA,130,3,1
