respid,eastwest,german,sex,age,agec,dg10,dg03,educ,isced97,iscd11,work,isco08,siops08,isei08,dw15,dw16,dw19c,dw03,mstat,dp01,di01a,di02a,incc,di01b,di02b,di05,di06,hhincc,dh01,dh11,aq01,gs01,gd01,gd02,dg13,dg08,dg09,dg11,ls01,id02,id01,im01,im17,im18,im19,im20,im21,iw04,pd11,pi07,pi01,pi02,lp03,lp04,lp05,lp06,hs01,hs04,hs05,hs06,hs07,hs09,land,bik,gkpol
1633,1,1,1,57,3,8,4,2,3,3,1,1219,53.28,68.54,39,1,NA,NA,1,NA,NA,16,16,NA,20,NA,20,20,1,1,4,2,NA,NA,NA,NA,NA,NA,7,2,2,2,2,3,4,4,3,2,2,1,1,2,NA,2,1,1,2,2,3,3,3,5,50,8,6
1634,2,1,2,39,2,17,1,3,3,3,1,4224,33,39.02,45,1,NA,NA,1,NA,NA,14,14,NA,22,NA,22,22,1,3,5,3,2017,4,1,NA,1,2,8,3,3,1,2,3,3,2,2,2,2,1,1,2,2,2,2,1,2,2,3,4,4,5,160,5,3
1635,2,1,2,21,1,17,1,5,3,3,4,NA,NA,NA,NA,NA,NA,1,5,2,NA,8,8,NA,NA,NA,8,8,2,NA,3,2,2019,2,2,NA,2,2,3,3,3,1,3,3,2,4,4,1,1,1,1,3,2,2,2,1,3,2,2,3,2,3,160,8,6
1636,1,1,2,22,1,9,4,5,4,4,1,3212,54.58,57.37,38.5,NA,NA,NA,5,1,750,NA,7,NA,NA,750,NA,7,2,NA,4,4,2020,1,5,1,NA,1,8,3,2,2,1,1,3,3,4,1,2,1,2,NA,1,1,1,1,1,3,3,2,2,5,30,3,3
1637,2,1,1,57,3,15,1,3,3,3,1,7114,34,21.96,38,2,NA,NA,1,NA,NA,15,15,NA,20,NA,20,20,1,1,4,2,2013,8,1,NA,2,2,6,2,1,NA,2,1,4,3,4,1,2,NA,1,3,1,1,1,1,3,NA,NA,NA,NA,NA,140,NA,NA
1638,1,1,2,70,4,2,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5,5,NA,NA,NA,5,5,2,NA,7,4,NA,NA,NA,NA,NA,NA,8,NA,1,2,1,1,4,3,4,1,3,2,1,1,1,1,1,1,4,3,3,3,4,2,90,9,2
1639,1,1,2,38,2,11,4,5,5,7,2,5329,29,26.64,24,1,4,NA,1,NA,NA,11,11,NA,19,NA,19,19,1,2,7,4,2010,11,1,2,NA,2,4,3,2,2,3,2,3,3,2,2,1,1,2,NA,1,1,1,1,2,2,3,3,3,2,70,7,1
1640,1,1,1,60,4,8,4,2,5,5,1,3122,45.94,40.54,40,1,NA,NA,1,NA,NA,13,13,NA,19,NA,19,19,1,1,7,4,NA,NA,NA,NA,NA,NA,6,2,2,1,3,3,2,2,3,2,2,1,1,1,1,2,1,2,4,5,3,1,4,4,50,5,3
1641,2,1,1,71,4,16,1,5,5,7,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,9,9,NA,21,NA,21,21,1,1,7,2,1995,26,1,NA,2,2,10,3,3,1,2,3,3,2,2,1,1,2,1,2,1,2,1,1,1,4,5,2,2,5,150,7,5
1642,2,1,1,64,4,14,1,3,5,5,2,3123,45.94,37.83,22,1,2,NA,1,NA,2900,NA,18,4150,NA,4150,NA,21,1,1,7,5,NA,NA,NA,NA,NA,NA,7,3,3,2,2,3,1,2,3,2,2,1,1,2,1,2,1,1,3,3,4,2,3,5,130,4,4
1643,1,1,1,78,5,2,4,NA,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,13,13,NA,16,NA,16,16,1,1,7,1,1962,59,1,2,NA,2,7,3,3,1,2,1,1,3,2,1,1,2,1,2,1,2,1,1,4,4,3,4,4,5,90,10,7
1644,1,1,1,18,1,7,4,7,NA,NA,4,NA,NA,NA,NA,NA,NA,1,5,2,NA,NA,NA,NA,19,NA,19,19,1,2,7,4,9000,18,NA,1,NA,2,10,3,3,NA,2,4,3,3,4,2,1,NA,1,3,1,2,1,1,1,NA,NA,NA,NA,NA,30,9,3
1645,2,1,2,79,5,14,1,2,2,2,4,NA,NA,NA,NA,NA,NA,2,3,2,NA,14,14,NA,NA,NA,14,14,2,NA,3,1,2001,20,NA,NA,2,2,9,3,2,1,2,2,3,2,2,1,1,2,1,2,1,2,1,2,4,4,4,2,3,4,112,10,7
1646,1,1,1,27,1,1,4,5,5,7,1,3323,48.86,56.35,42,3,5,NA,5,2,NA,9,9,NA,19,NA,19,19,1,2,7,4,NA,NA,NA,NA,NA,NA,4,3,2,2,2,2,4,3,3,1,2,2,1,2,1,1,1,NA,4,3,2,4,3,1,80,4,4
1647,2,1,2,35,2,15,1,5,5,7,2,2161,63.19,79.74,30,1,1,NA,1,NA,NA,14,14,NA,24,NA,24,24,1,3,4,1,2017,4,5,NA,1,2,9,3,3,1,3,3,3,3,3,1,1,2,1,2,2,2,2,2,1,2,4,3,3,5,160,NA,5
1648,1,1,2,28,1,2,4,5,5,7,4,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,7,4,NA,NA,NA,NA,NA,NA,9,4,3,1,4,3,4,2,2,1,1,1,1,2,2,2,2,2,2,3,2,3,4,5,90,7,3
1649,1,1,1,20,1,7,4,1,1,1,1,NA,NA,NA,36.5,NA,NA,NA,5,2,NA,7,7,NA,11,NA,11,11,1,2,5,4,NA,NA,NA,NA,NA,NA,8,NA,3,2,2,2,3,2,3,2,1,2,1,3,2,NA,1,2,2,4,4,2,2,4,30,3,3
1650,2,1,1,56,3,15,1,5,5,7,1,2330,62.63,82.41,35,1,NA,NA,1,NA,NA,19,19,NA,24,NA,24,24,1,4,4,1,9000,56,NA,NA,2,2,7,3,3,2,3,4,3,3,3,3,2,2,1,2,1,2,1,1,3,4,4,2,3,5,140,10,7
1651,2,1,1,75,5,15,1,3,5,5,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,11,11,NA,16,NA,16,16,1,1,7,3,1968,53,1,NA,2,2,10,3,3,NA,1,3,4,3,3,1,2,NA,1,2,2,2,1,2,2,NA,NA,NA,NA,NA,140,3,3
1652,1,1,2,69,4,7,4,2,2,2,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,4,4,NA,15,NA,15,15,1,1,7,3,1987,34,3,2,NA,2,8,3,3,2,2,3,1,2,4,1,1,2,1,3,1,1,1,1,2,3,5,2,1,4,30,5,4
1653,1,1,1,49,3,95,NA,4,4,4,1,4419,37,44.72,38.5,1,NA,NA,1,NA,NA,18,18,NA,22,NA,22,22,1,2,7,4,NA,NA,NA,NA,NA,NA,8,3,NA,2,2,1,4,4,4,1,2,1,2,NA,1,1,1,2,2,3,4,2,3,5,90,9,2
1654,1,1,2,62,4,3,4,3,3,3,2,3342,48.81,57.99,20,1,NA,NA,1,NA,NA,7,7,NA,18,NA,18,18,1,1,4,1,9000,62,NA,2,NA,2,7,3,3,2,2,1,3,3,2,2,2,2,1,3,1,2,1,1,3,3,2,4,4,3,40,10,7
1655,2,1,2,54,3,16,1,4,5,7,4,NA,NA,NA,NA,NA,NA,2,4,1,NA,10,10,NA,NA,NA,10,10,2,NA,4,3,NA,NA,NA,NA,NA,NA,5,3,NA,2,1,1,3,2,3,2,2,2,1,1,1,2,1,1,4,5,5,2,3,5,130,8,5
1656,1,1,2,68,4,8,4,5,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,13,13,NA,24,NA,24,24,1,1,7,2,NA,NA,NA,NA,NA,NA,8,3,3,2,2,1,3,4,3,1,2,2,1,3,1,2,1,2,4,3,2,4,5,3,10,9,4
1657,2,1,2,36,2,14,1,5,5,7,1,2166,63.19,79.74,35,NA,NA,NA,5,1,NA,11,11,NA,15,NA,15,15,1,2,4,1,NA,NA,NA,NA,NA,NA,8,2,3,2,3,1,4,4,4,1,2,2,1,3,1,2,2,2,2,2,3,3,3,4,140,10,7
1658,2,1,2,51,3,15,1,5,5,5,1,NA,NA,NA,40,1,NA,NA,4,1,NA,11,11,NA,NA,NA,11,11,2,NA,4,3,2003,18,1,NA,1,1,8,2,1,2,3,2,4,3,3,2,1,1,1,2,2,1,1,1,3,3,4,2,3,5,140,5,3
1659,1,1,1,45,3,6,4,5,5,6,2,2636,54,71.55,NA,NA,NA,NA,1,NA,NA,14,14,NA,23,NA,23,23,1,2,2,3,NA,NA,NA,NA,NA,NA,9,4,3,1,3,1,3,2,2,1,1,2,1,3,1,2,2,1,2,3,4,2,2,5,60,9,3
1660,1,1,1,46,3,8,4,5,5,7,1,2143,61.69,79.05,40,1,3,NA,1,NA,2700,NA,17,5000,NA,5000,NA,23,1,3,4,2,NA,NA,NA,NA,NA,NA,9,3,3,1,2,2,3,3,4,1,2,2,1,2,1,2,1,2,2,4,4,2,3,5,20,10,7
1661,1,1,2,43,2,1,4,3,5,5,2,3412,49,52.72,23.5,1,NA,NA,1,NA,NA,12,12,NA,NA,NA,NA,NA,1,1,1,3,2018,3,1,2,NA,2,8,3,NA,2,3,1,4,4,4,1,2,2,1,3,2,2,2,2,2,2,4,2,2,5,80,8,5
1662,1,1,1,62,4,11,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,5,2,1450,NA,12,NA,NA,1450,NA,12,2,NA,4,3,NA,NA,NA,NA,NA,NA,6,2,2,2,2,1,NA,2,2,1,2,1,2,NA,1,1,1,NA,3,4,4,2,3,4,10,10,4
1663,1,1,2,83,5,1,4,2,2,2,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,4,4,NA,12,NA,12,12,1,1,7,4,1963,58,1,2,NA,2,3,3,2,2,3,2,4,4,4,3,1,2,1,2,1,2,2,2,5,4,2,3,4,2,80,7,3
1664,1,1,2,65,4,6,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,8,3,3,2,2,3,3,2,2,1,1,1,2,NA,2,2,1,1,2,4,4,4,3,4,60,8,6
1665,2,1,2,39,2,16,1,5,5,7,2,2162,63.19,79.74,30,1,4,NA,5,1,1700,NA,13,4000,NA,4000,NA,21,1,3,4,2,2011,10,5,NA,2,2,8,3,3,NA,2,2,3,2,2,2,2,NA,1,3,1,2,1,2,2,NA,NA,NA,NA,NA,120,7,6
1666,2,1,2,30,2,17,1,4,5,6,1,2423,55.8,68.55,40,1,NA,NA,5,2,NA,14,14,NA,NA,NA,14,14,2,NA,4,1,2010,11,2,NA,1,1,6,3,2,NA,2,3,3,4,3,1,2,NA,1,1,1,2,1,1,2,NA,NA,NA,NA,NA,160,8,6
1667,1,1,1,31,2,13,2,5,5,7,2,2310,78.16,85.41,45,3,4,NA,1,NA,1730,NA,13,2170,NA,2170,NA,15,1,3,4,3,NA,NA,NA,NA,NA,NA,9,2,2,2,3,3,4,4,4,1,1,2,1,3,2,2,2,2,1,3,5,2,3,4,80,7,3
1668,1,1,1,72,4,2,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,11,11,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,3,4,3,2,2,2,90,1,1
1669,2,1,2,23,1,16,1,3,5,5,1,3122,45.94,40.54,42.5,3,NA,NA,5,1,1145,NA,10,2800,NA,2800,NA,18,1,1,4,1,2016,5,2,NA,1,1,9,2,3,1,3,2,3,4,2,1,1,2,2,NA,2,2,2,1,1,1,2,3,3,5,150,8,6
1670,1,1,2,79,5,7,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,2,2,NA,14,NA,14,14,1,1,7,4,1969,52,1,2,NA,2,4,3,3,NA,2,2,2,2,1,1,1,NA,1,2,1,1,2,2,5,NA,NA,NA,NA,NA,30,7,5
1671,2,1,1,46,3,13,1,5,6,8,1,1330,61.15,78.86,50,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,6,2,NA,NA,NA,NA,NA,NA,6,3,2,2,2,1,4,4,4,1,3,2,1,3,1,1,1,1,1,3,2,3,2,5,112,10,7
1672,1,1,2,42,2,5,4,5,4,4,4,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,15,NA,15,15,1,2,4,1,9000,42,NA,2,NA,2,6,3,2,NA,2,3,3,3,3,2,2,NA,1,2,1,1,1,1,2,NA,NA,NA,NA,NA,20,10,7
1673,1,1,1,53,3,7,4,2,5,5,1,7522,39.99,25.23,48,1,3,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,3,NA,NA,NA,NA,NA,NA,4,2,1,1,3,1,3,3,4,1,3,1,1,2,1,2,1,1,5,2,2,4,4,4,30,NA,4
1674,2,3,1,27,1,95,NA,5,5,6,1,2512,51,74.66,40,1,NA,NA,5,1,NA,16,16,NA,20,NA,20,20,1,1,4,1,2021,0,4,NA,1,2,8,3,4,NA,2,2,3,4,3,1,2,NA,1,3,1,2,2,2,2,NA,NA,NA,NA,NA,140,10,7
1675,2,1,1,51,3,12,1,2,3,3,2,9214,21,11.74,12,3,6,NA,5,2,NA,5,5,NA,NA,NA,5,5,2,NA,3,3,1994,27,5,NA,1,2,7,1,2,2,2,2,3,NA,3,1,2,1,1,3,1,1,1,1,3,2,2,3,3,4,150,5,3
1676,2,1,2,20,1,12,1,5,3,3,4,NA,NA,NA,NA,NA,NA,1,5,1,NA,3,3,NA,13,NA,13,13,1,1,4,2,9000,20,NA,NA,1,1,8,4,3,1,4,3,3,2,2,2,1,1,1,2,2,2,1,2,1,1,2,3,3,4,120,10,4
1677,1,1,2,41,2,11,4,5,5,7,1,2431,50.09,73.91,44,1,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,1,2005,16,5,2,NA,2,7,3,3,NA,4,4,2,2,2,2,1,NA,1,1,2,1,1,1,2,NA,NA,NA,NA,NA,50,8,6
1678,1,1,2,73,4,16,2,4,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,11,11,NA,19,NA,19,19,1,1,7,4,NA,NA,NA,NA,NA,NA,8,3,3,1,2,3,1,2,2,1,1,2,1,2,1,2,2,1,2,2,4,4,3,5,90,9,2
1679,2,1,1,61,4,15,1,3,3,3,1,5153,23.27,21.82,40,1,NA,NA,1,NA,NA,13,13,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,6,2,1,1,NA,4,1,NA,4,NA,4,1,2,NA,1,1,1,2,2,4,4,2,2,5,140,10,7
1680,2,1,2,80,5,16,1,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,8,8,NA,14,NA,14,14,1,1,7,3,1972,49,5,NA,2,2,8,3,3,2,1,2,1,2,4,1,2,2,1,3,2,2,2,2,3,3,3,3,4,5,120,4,4
1681,1,1,2,29,1,2,4,5,5,6,1,3341,48.81,62.13,40,1,NA,NA,5,1,NA,18,18,NA,21,NA,21,21,1,1,4,1,2018,3,2,2,NA,1,8,3,3,NA,3,3,3,2,3,1,1,NA,1,2,2,2,1,2,2,NA,NA,NA,NA,NA,90,10,7
1682,1,1,2,66,4,8,4,3,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,10,10,NA,17,NA,17,17,1,1,7,2,NA,NA,NA,NA,NA,NA,8,4,3,2,1,2,3,4,3,2,2,2,2,NA,NA,2,2,2,3,3,4,2,2,4,50,10,6
1683,1,1,1,42,2,1,4,3,5,5,1,7233,42.17,31.72,37,1,NA,NA,5,1,3000,NA,19,NA,NA,NA,NA,NA,1,1,6,3,2003,18,4,2,NA,2,7,3,3,NA,2,3,3,2,3,2,2,NA,1,2,1,1,1,1,2,NA,NA,NA,NA,NA,80,10,4
1684,2,1,1,51,3,17,1,2,3,3,1,8189,25,24.16,40,NA,NA,NA,5,2,NA,12,12,NA,NA,NA,12,12,2,NA,3,NA,NA,NA,NA,NA,NA,NA,7,2,1,1,2,2,3,3,3,1,2,2,1,2,1,1,1,2,3,1,3,3,3,2,160,NA,5
1685,1,1,2,19,1,8,4,5,3,3,3,NA,NA,NA,NA,NA,NA,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,NA,NA,NA,NA,NA,NA,8,4,3,2,2,2,3,4,4,1,2,1,2,NA,1,1,1,2,1,3,3,2,3,4,50,10,6
1686,1,1,2,NA,NA,7,4,5,5,7,1,NA,NA,NA,40,1,NA,NA,1,NA,NA,19,19,NA,24,NA,24,24,1,3,7,4,2005,16,1,2,NA,1,7,3,3,NA,3,3,2,2,3,2,1,NA,1,2,1,2,2,1,3,NA,NA,NA,NA,NA,30,7,3
1687,1,1,1,31,2,6,4,3,3,3,1,7222,39.96,33.16,41.5,1,NA,NA,1,NA,4000,NA,21,4000,NA,4000,NA,21,1,3,7,3,NA,NA,NA,NA,NA,NA,8,2,3,2,2,1,3,3,4,1,2,2,1,3,1,2,1,1,3,2,4,3,3,5,60,4,3
1688,1,1,2,67,4,9,4,4,5,7,4,NA,NA,NA,NA,NA,NA,2,3,2,NA,18,18,NA,NA,NA,18,18,2,NA,7,4,1987,34,1,1,NA,1,7,3,3,2,1,1,4,4,4,1,1,2,1,3,1,1,2,1,2,3,3,3,3,3,80,5,2
1689,1,1,2,42,2,1,4,5,5,7,2,2149,55,78.69,27.6,1,3,NA,1,NA,NA,13,13,NA,22,NA,22,22,1,3,7,2,1980,41,2,2,NA,1,8,4,1,2,2,1,4,4,4,1,3,1,2,NA,1,2,1,1,1,2,3,3,3,5,80,10,6
1690,1,1,1,52,3,8,4,5,4,4,1,7411,44.01,36.35,40,1,4,NA,4,2,NA,15,15,NA,19,NA,19,19,1,1,7,3,9000,52,NA,1,NA,1,8,3,4,NA,1,2,2,2,2,1,2,NA,2,NA,1,1,2,2,2,NA,NA,NA,NA,NA,50,4,4
1691,2,1,1,41,2,15,1,5,5,5,1,2511,51,74.66,32,1,NA,NA,1,NA,2300,NA,16,4000,NA,4000,NA,21,1,3,7,3,9000,41,NA,NA,1,1,9,3,3,NA,3,2,3,2,3,1,1,NA,1,2,2,2,1,1,1,NA,NA,NA,NA,NA,140,9,3
1692,1,1,1,67,4,8,4,3,5,5,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,15,15,NA,20,NA,20,20,1,1,6,2,NA,NA,NA,NA,NA,NA,10,3,3,1,1,3,2,2,2,3,1,1,1,2,2,2,2,NA,2,3,4,1,2,5,50,10,6
1693,1,1,1,19,1,7,4,5,3,3,4,NA,NA,NA,NA,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,7,3,2007,14,1,1,NA,2,7,3,4,1,2,2,4,3,2,1,1,2,1,3,1,2,2,2,1,4,4,2,2,5,30,3,3
1694,2,1,2,55,3,15,1,3,3,3,4,NA,NA,NA,NA,NA,NA,6,1,NA,800,NA,7,1700,NA,1700,NA,13,1,1,7,1,9000,55,NA,NA,2,2,7,2,2,NA,1,4,1,1,2,3,2,NA,1,2,1,1,1,2,4,NA,NA,NA,NA,NA,140,10,7
1695,1,1,1,44,2,1,4,2,3,3,4,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,3,2002,19,1,2,NA,2,7,2,2,1,2,1,2,3,3,2,1,1,2,NA,1,2,1,2,4,3,2,3,3,3,80,7,3
1696,2,1,1,70,4,14,1,3,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,1500,NA,13,1700,NA,1700,NA,13,1,4,7,4,1998,23,2,NA,2,2,4,2,1,NA,1,1,2,4,4,1,3,NA,1,3,1,1,1,2,4,NA,NA,NA,NA,NA,130,7,1
1697,1,1,2,27,1,8,4,5,5,7,1,3259,49.89,61.91,39,1,NA,NA,5,1,2600,NA,17,4000,NA,4000,NA,21,1,1,7,3,NA,NA,NA,NA,NA,NA,9,3,3,2,3,4,2,2,2,2,1,1,1,2,2,2,2,2,2,4,3,2,3,5,50,4,4
1698,1,1,2,48,3,12,2,3,5,5,2,3221,44,56,20,NA,NA,NA,1,NA,NA,7,7,NA,24,NA,24,24,1,3,5,4,2006,15,4,1,NA,2,9,3,3,NA,2,2,4,3,4,2,1,NA,1,3,1,2,2,2,1,NA,NA,NA,NA,NA,90,9,2
1699,1,1,2,39,2,11,4,2,3,3,2,5151,37.03,25.2,20,1,5,NA,1,NA,NA,7,7,NA,18,NA,18,18,1,4,7,3,NA,NA,NA,NA,NA,NA,7,2,2,2,2,4,3,3,3,2,1,2,1,2,1,2,1,2,1,3,5,2,2,5,10,10,4
1700,1,1,2,38,2,17,2,4,5,6,1,3341,48.81,62.13,40,1,NA,NA,1,NA,3200,NA,19,9000,NA,9000,NA,25,1,1,4,2,2005,16,5,1,NA,2,7,3,3,2,3,4,4,3,4,1,1,2,1,3,1,2,2,2,2,3,3,2,3,5,80,10,4
1701,2,1,1,71,4,16,1,3,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,13,13,NA,18,NA,18,18,1,1,7,4,1971,50,1,NA,1,2,9,2,2,NA,3,4,2,2,2,1,1,NA,1,1,1,2,1,1,2,NA,NA,NA,NA,NA,150,4,3
1702,1,1,1,65,4,8,4,5,5,7,3,NA,NA,NA,NA,NA,NA,2,1,NA,NA,22,22,NA,22,NA,22,22,1,1,7,4,1992,29,1,2,NA,1,9,4,4,2,3,2,2,3,3,2,1,1,1,3,1,2,2,2,1,4,5,2,2,5,50,7,3
1703,2,1,2,60,4,13,1,5,5,7,1,3343,48.81,54.55,40,1,NA,NA,1,NA,2400,NA,16,6500,NA,6500,NA,24,1,2,7,3,9000,60,NA,NA,2,2,8,4,3,1,2,3,4,2,3,1,1,2,2,NA,1,1,1,2,1,2,3,3,4,4,120,9,4
1704,1,1,1,50,3,9,4,2,3,3,1,4110,42.09,43.33,39,1,NA,NA,4,1,2400,NA,16,NA,NA,2400,NA,16,2,NA,4,4,2015,6,1,2,NA,2,3,2,3,2,3,2,2,3,1,1,1,2,2,NA,1,1,1,1,4,2,1,4,4,2,70,3,3
1705,1,1,2,36,2,2,4,3,3,3,2,3332,47.61,56.64,30,1,4,NA,1,NA,1250,NA,11,5000,NA,5000,NA,23,1,4,7,4,NA,NA,NA,NA,NA,NA,5,4,3,2,2,1,2,2,3,1,2,1,2,NA,2,2,1,1,2,1,3,3,3,5,90,7,3
1706,1,1,2,41,2,9,4,5,6,8,1,1345,72,65.01,40,1,3,NA,5,1,NA,19,19,NA,22,NA,22,22,1,1,4,1,NA,NA,NA,NA,NA,NA,8,3,4,2,2,3,4,4,4,1,1,2,1,3,2,2,2,1,3,1,2,3,3,3,90,10,7
1707,1,1,1,65,4,1,4,1,1,1,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,NA,2,10,2,2,1,4,1,4,1,4,1,1,2,1,3,2,2,1,1,1,5,5,5,5,5,10,8,5
1708,1,1,2,53,3,2,4,5,5,7,1,3359,54.64,64.4,50,1,NA,NA,1,NA,4500,NA,22,7000,NA,7000,NA,24,1,4,7,3,9000,53,NA,1,NA,1,7,3,3,NA,2,2,2,2,2,3,2,NA,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,90,7,3
1709,1,1,2,30,2,8,4,5,4,4,1,3221,44,56,38.5,1,NA,NA,1,NA,NA,16,16,NA,21,NA,21,21,1,1,4,4,2021,0,1,2,NA,1,8,3,3,NA,2,1,3,3,4,1,2,NA,2,NA,1,1,1,1,2,NA,NA,NA,NA,NA,50,8,6
1710,2,1,2,73,4,15,1,5,5,7,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,13,13,NA,19,NA,19,19,1,1,7,3,9000,73,NA,NA,2,2,7,3,3,2,2,1,3,3,3,2,2,2,1,3,1,2,1,1,3,3,4,2,2,3,140,4,3
1711,2,1,1,84,5,17,1,2,5,5,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,9,9,NA,10,NA,10,10,1,1,7,3,NA,NA,NA,NA,NA,NA,10,2,2,1,1,1,1,1,3,1,1,2,1,3,1,NA,1,1,3,4,3,3,2,5,160,2,2
1712,2,1,1,32,2,17,1,4,5,7,1,3422,50,50.9,52.5,1,NA,NA,1,NA,NA,17,17,NA,23,NA,23,23,1,1,4,3,NA,NA,NA,NA,NA,NA,10,4,3,1,4,3,2,2,2,2,1,2,1,2,2,2,2,2,1,3,5,2,2,5,160,NA,5
1713,2,1,1,68,4,16,1,4,5,6,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,15,15,NA,NA,NA,NA,NA,1,2,7,2,NA,NA,NA,NA,NA,NA,7,3,NA,1,2,3,3,3,3,4,2,2,1,3,1,2,1,1,3,3,3,4,4,5,140,10,7
1714,1,1,1,53,3,95,NA,5,5,7,2,NA,NA,NA,19,NA,NA,NA,1,NA,NA,11,11,NA,NA,NA,NA,NA,1,3,5,3,2000,21,2,2,NA,2,10,3,3,2,2,3,4,3,3,1,1,1,1,2,2,2,2,2,2,3,4,3,3,5,10,10,4
1715,1,1,1,67,4,8,4,2,3,3,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,16,16,NA,22,NA,22,22,1,1,4,1,NA,NA,NA,NA,NA,NA,9,3,3,2,2,1,3,4,4,1,2,2,1,3,1,2,2,2,2,5,5,1,2,5,50,8,6
1716,2,1,2,67,4,15,1,5,6,8,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,10,10,NA,18,NA,18,18,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,2,3,2,4,1,1,1,1,2,1,2,1,1,3,3,3,3,3,5,140,10,7
1717,1,1,1,25,1,7,4,4,4,4,1,3113,46,51.92,36,1,NA,NA,5,2,NA,15,15,NA,24,NA,24,24,1,3,7,4,2000,21,1,1,NA,2,8,3,3,2,3,3,2,2,2,1,1,2,1,3,1,2,2,2,2,2,2,4,3,3,30,NA,4
1718,1,1,2,62,4,8,4,3,5,7,1,NA,NA,NA,50,1,NA,NA,1,NA,NA,22,22,NA,24,NA,24,24,1,1,7,4,1980,41,1,1,NA,1,7,4,3,1,4,4,4,2,2,1,1,2,1,2,2,2,2,2,2,3,4,3,2,4,50,5,3
1719,1,1,1,54,3,6,4,5,5,7,1,NA,NA,NA,30,NA,5,NA,1,NA,NA,16,16,NA,23,NA,23,23,1,1,7,4,2016,5,1,1,NA,1,9,4,3,NA,3,2,2,2,2,3,2,NA,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,60,8,6
1720,1,1,2,32,2,8,4,5,5,6,3,NA,NA,NA,NA,NA,NA,1,5,2,NA,5,5,NA,NA,NA,5,5,2,NA,6,4,9000,32,NA,1,NA,1,7,2,2,NA,1,2,3,4,4,1,2,NA,1,2,1,2,1,2,2,NA,NA,NA,NA,NA,50,5,3
1721,1,1,2,38,2,8,4,3,3,3,2,3212,54.58,57.37,13,1,NA,NA,1,NA,NA,8,8,NA,24,NA,24,24,1,3,7,3,2010,11,1,1,NA,1,10,4,3,NA,2,3,3,4,4,2,1,NA,1,1,1,2,1,1,2,NA,NA,NA,NA,NA,50,5,3
1722,1,1,2,64,4,5,4,4,4,4,2,3256,50,44.92,30,1,NA,NA,1,NA,NA,11,11,NA,21,NA,21,21,1,1,3,1,9000,64,NA,1,NA,2,10,3,3,NA,2,2,4,3,4,1,1,NA,1,3,1,2,1,1,1,NA,NA,NA,NA,NA,20,10,7
1723,1,1,2,81,5,16,2,1,1,1,4,NA,NA,NA,NA,NA,NA,2,1,NA,NA,6,6,NA,13,NA,13,13,1,1,1,4,2017,4,1,2,NA,2,5,2,2,NA,3,3,2,4,3,1,1,NA,1,2,1,1,1,1,3,NA,NA,NA,NA,NA,80,3,3
