respid,age,sex,wohnort,isced97,work,dw15,mstat,hhincc,hs04_r,hs06,hs07,hs05_r,hs09_r,distress,im17_r,im18_r,im19_r,im20_r,im21_r,soz.u,soz.u_na,soz.u_rmt,distress_na,distress_rmt
758,58,1,Rural,5,1,36,1,21,3,2,2,2,1,10,2,3,3,3,2,13,13,13,10,10
760,66,1,Rural,3,1,42,4,NA,1,1,4,3,1,10,1,3,4,4,4,16,16,16,10,10
761,58,1,Rural,3,1,39,1,24,1,2,2,1,1,7,3,2,3,1,1,10,10,10,7,7
762,39,2,Urban,5,4,NA,1,26,4,3,3,4,3,17,1,3,3,3,1,11,11,11,17,17
764,26,1,Urban,4,1,35,5,15,4,3,3,3,4,17,3,3,3,2,2,13,13,13,17,17
765,66,2,Rural,3,4,NA,1,14,3,3,3,2,2,13,3,2,4,3,2,14,14,14,13,13
767,37,2,Urban,4,1,42,5,15,3,2,2,2,1,10,3,3,2,2,2,12,12,12,10,10
768,61,2,Urban,3,2,25,4,7,3,3,3,3,3,15,4,4,1,2,1,12,12,12,15,15
770,77,2,Urban,2,4,NA,1,13,2,1,3,2,1,9,4,2,1,2,1,10,10,10,9,9
772,63,1,Urban,5,2,24.5,5,15,3,3,4,3,4,17,2,4,1,2,2,11,11,11,17,17
773,73,1,Rural,5,4,NA,5,11,2,2,4,2,3,13,4,3,3,3,3,16,16,16,13,13
774,23,1,NA,3,1,40,6,NA,1,5,5,1,3,15,4,4,4,4,4,20,20,20,15,15
779,55,1,Urban,2,1,40,1,NA,4,2,3,1,1,11,3,3,3,1,1,11,11,11,11,11
780,59,2,Urban,5,4,NA,4,NA,5,4,3,4,4,20,2,3,1,1,1,8,8,8,20,20
781,42,1,Urban,2,4,NA,4,8,5,5,4,5,2,21,4,4,1,2,1,12,12,12,21,21
782,57,1,Urban,3,4,NA,5,14,2,3,4,4,4,17,3,2,2,2,1,10,10,10,17,17
783,28,1,Rural,3,1,38.5,5,20,3,2,3,2,1,11,3,4,4,2,2,15,15,15,11,11
784,42,2,Urban,5,2,32,1,25,4,2,2,3,2,13,2,3,3,3,3,14,14,14,13,13
785,46,2,Urban,6,2,20.5,1,25,5,2,2,3,1,13,3,2,3,3,2,13,13,13,13,13
786,24,1,Urban,4,2,15,5,20,3,2,3,3,4,15,2,2,4,3,2,13,13,13,15,15
