respid,age,sex,wohnort,isced97,work,dw15,mstat,hhincc,hs04_r,hs06,hs07,hs05_r,hs09_r,distress,im17_r,im18_r,im19_r,im20_r,im21_r,soz.u,soz.u_na,soz.u_rmt,distress_na,distress_rmt
1367,78,2,Rural,3,4,NA,1,17,3,4,3,3,3,16,3,2,2,2,3,12,12,12,16,16
1368,53,2,NA,1,1,60,NA,NA,4,4,3,4,1,16,3,4,2,2,2,13,13,13,16,16
1371,60,1,Urban,3,1,35,1,19,3,4,2,3,1,13,3,3,3,3,2,14,14,14,13,13
1373,77,2,Rural,5,4,NA,1,NA,1,3,4,1,1,10,3,3,3,4,2,15,15,15,10,10
1376,60,2,Urban,5,1,60,4,NA,4,1,1,1,1,8,3,3,4,3,2,15,15,15,8,8
1377,68,1,Rural,5,3,NA,4,18,3,3,3,3,4,16,3,3,1,2,1,10,10,10,16,16
1378,50,2,Rural,1,1,34,1,19,3,3,3,3,1,13,3,3,2,2,2,12,12,12,13,13
1382,63,1,Rural,3,1,44.5,4,19,3,2,3,1,1,10,4,1,1,3,2,11,11,11,10,10
1383,56,2,Urban,3,2,30,1,16,1,1,4,3,1,10,3,4,2,3,2,14,14,14,10,10
1384,33,2,NA,5,1,42,1,NA,4,3,3,3,3,16,2,2,2,3,3,12,12,12,16,16
1385,72,1,Rural,3,4,NA,1,NA,2,2,3,3,2,12,2,4,1,1,1,9,9,9,12,12
1388,51,2,Urban,4,4,NA,1,NA,3,3,3,2,1,12,2,1,1,3,3,10,10,10,12,12
1390,72,2,Urban,3,4,NA,1,14,2,3,4,3,3,15,3,3,3,3,3,15,15,15,15,15
1391,61,2,Urban,5,4,NA,1,21,2,2,4,2,1,11,1,1,1,4,4,11,11,11,11,11
1395,40,2,Urban,5,2,32.5,4,15,4,2,2,3,3,14,3,2,3,1,2,11,11,11,14,14
1396,68,1,Urban,3,4,NA,1,16,4,4,3,3,4,18,3,3,2,2,2,12,12,12,18,18
1397,60,1,Urban,5,1,37.5,1,NA,4,3,4,3,1,15,2,3,1,1,1,8,8,8,15,15
1398,59,2,Urban,5,2,31,5,16,4,2,3,2,2,13,3,3,1,1,2,10,10,10,13,13
1401,42,2,Urban,6,1,40,4,23,2,3,3,3,3,14,3,2,3,3,3,14,14,14,14,14
1402,57,1,Urban,5,1,42,1,24,2,3,3,2,2,12,2,2,3,3,1,11,11,11,12,12
1403,43,1,Urban,5,1,40,5,22,4,3,3,2,1,13,2,2,3,3,3,13,13,13,13,13
1405,67,1,Urban,3,4,NA,1,19,1,1,2,1,1,6,4,1,2,3,2,12,12,12,6,6
1407,38,1,Rural,5,1,50,5,25,4,3,3,3,2,15,4,1,4,4,4,17,17,17,15,15
1409,32,2,Urban,3,2,NA,4,19,4,3,3,4,4,18,3,2,3,4,2,14,14,14,18,18
1411,73,1,Urban,5,4,NA,1,25,2,2,2,3,2,11,1,1,3,3,3,11,11,11,11,11
1414,51,1,Urban,5,1,60,4,20,4,3,3,4,3,17,2,3,1,2,2,10,10,10,17,17
1415,25,1,Urban,4,1,40,5,19,2,2,2,1,1,8,3,1,2,1,1,8,8,8,8,8
1416,74,2,Urban,NA,4,NA,1,15,2,2,3,2,1,10,4,3,3,3,2,15,15,15,10,10
1418,57,1,Urban,3,1,40,1,16,4,2,3,4,1,14,2,3,3,3,1,12,12,12,14,14
1420,82,2,Rural,5,4,NA,4,14,2,2,3,3,3,13,3,2,3,2,1,11,11,11,13,13
1421,60,2,NA,2,1,35,1,NA,4,4,4,4,3,19,3,4,1,1,1,10,10,10,19,19
1423,71,1,Urban,3,4,NA,4,11,1,2,3,1,1,8,3,2,3,3,2,13,13,13,8,8
1425,30,2,Urban,3,4,NA,1,23,2,2,2,1,1,8,2,1,3,3,2,11,11,11,8,8
1429,24,1,Urban,3,1,40,5,13,2,2,3,2,3,12,3,2,1,1,2,9,9,9,12,12
1430,48,2,Rural,5,1,35,1,24,4,2,2,3,2,13,2,2,2,2,3,11,11,11,13,13
1431,67,1,Rural,3,3,NA,1,20,3,3,3,2,3,14,3,2,2,2,1,10,10,10,14,14
1432,60,1,Urban,3,1,37.5,1,18,4,2,2,2,1,11,3,4,4,3,2,16,16,16,11,11
1433,64,1,NA,3,4,NA,1,NA,3,4,4,3,2,16,3,2,1,2,1,9,9,9,16,16
1437,68,2,Urban,3,4,NA,3,NA,2,2,4,2,1,11,3,3,2,3,3,14,14,14,11,11
1439,20,1,Urban,3,3,NA,5,21,3,2,3,3,2,13,2,3,1,2,2,10,10,10,13,13
1441,57,1,Rural,3,1,39.5,1,21,3,3,3,3,3,15,2,1,2,2,2,9,9,9,15,15
1442,65,2,Rural,3,3,NA,3,11,1,2,3,3,3,12,2,3,3,2,2,12,12,12,12,12
1443,45,1,Urban,3,4,NA,5,12,1,2,5,2,2,12,3,4,1,1,1,10,10,10,12,12
1445,50,2,Urban,4,2,17,1,23,1,2,3,3,2,11,2,3,2,1,2,10,10,10,11,11
1447,53,2,Urban,3,1,35,1,19,3,2,2,3,2,12,3,4,2,1,2,12,12,12,12,12
1448,30,2,Rural,5,1,40,1,23,4,3,3,3,4,17,3,3,2,2,3,13,13,13,17,17
1449,35,2,Urban,3,1,41,5,16,3,3,4,3,4,17,2,2,3,3,2,12,12,12,17,17
1450,41,2,Rural,3,2,22,1,21,5,3,4,4,2,18,3,2,1,1,3,10,10,10,18,18
1452,35,1,Urban,5,1,45,4,21,3,2,2,2,3,12,2,3,3,1,1,10,10,10,12,12
1453,76,1,NA,3,4,NA,1,NA,3,4,4,3,3,17,2,3,1,3,2,11,11,11,17,17
1454,57,1,Urban,3,1,45.5,1,NA,5,4,4,4,4,21,2,2,4,3,3,14,14,14,21,21
1456,54,1,Urban,3,1,40,1,17,2,2,2,2,1,9,3,3,2,2,2,12,12,12,9,9
1457,77,1,Urban,3,4,NA,1,14,2,2,4,3,1,12,4,3,2,2,2,13,13,13,12,12
1458,19,1,Urban,2,4,NA,5,NA,3,2,3,4,4,16,4,2,3,4,2,15,15,15,16,16
1459,41,2,Rural,3,3,NA,1,NA,5,4,3,5,3,20,2,3,1,2,2,10,10,10,20,20
1460,24,2,Urban,5,2,35,5,19,4,4,4,4,4,20,3,4,2,1,1,11,11,11,20,20
1461,36,1,Urban,5,1,55,1,26,4,3,3,3,1,14,2,2,3,3,3,13,13,13,14,14
1463,80,1,Rural,5,4,NA,1,19,2,2,3,2,3,12,2,1,2,2,3,10,10,10,12,12
1465,21,2,Rural,3,1,42,5,21,4,4,4,4,4,20,3,4,1,1,1,10,10,10,20,20
1466,53,2,Urban,4,2,23.5,6,22,2,1,2,1,1,7,2,3,2,2,1,10,10,10,7,7
1468,38,2,Urban,5,4,NA,1,24,3,3,3,2,1,12,3,1,1,1,1,7,7,7,12,12
1469,62,1,Rural,5,4,NA,1,18,2,2,2,3,2,11,1,1,4,2,3,11,11,11,11,11
1470,34,1,Rural,3,1,38.5,5,17,3,2,2,2,1,10,2,4,2,2,2,12,12,12,10,10
1472,34,2,Rural,3,2,20.5,1,19,3,2,2,2,1,10,4,4,3,2,2,15,15,15,10,10
1474,44,1,Urban,5,1,50,1,24,4,3,2,2,1,12,2,1,4,3,1,11,11,11,12,12
1478,NA,2,Urban,3,2,NA,NA,NA,4,3,3,4,2,16,3,4,2,1,1,11,11,11,16,16
1480,69,1,Urban,6,1,40,1,25,4,3,1,1,1,10,3,1,3,3,2,12,12,12,10,10
1481,74,2,Urban,5,4,NA,1,14,1,2,2,2,1,8,3,3,3,2,2,13,13,13,8,8
1483,64,1,Rural,3,1,40,2,NA,4,3,3,3,4,17,4,1,2,2,3,12,12,12,17,17
1484,62,2,Urban,3,2,20,1,NA,3,3,3,3,1,13,3,3,2,2,1,11,11,11,13,13
1485,NA,1,Urban,3,4,NA,1,7,1,2,3,2,3,11,2,3,2,2,2,11,11,11,11,11
1486,60,1,Rural,3,1,41,4,15,4,3,4,1,1,13,3,3,2,2,1,11,11,11,13,13
1488,38,2,Urban,3,1,37,2,14,3,2,2,3,4,14,3,4,3,2,1,13,13,13,14,14
1494,25,2,Rural,5,1,40,5,21,4,3,3,3,1,14,3,4,2,2,1,12,12,12,14,14
1495,34,1,Urban,5,1,46,5,24,3,2,2,2,1,10,3,2,3,1,1,10,10,10,10,10
1496,76,1,Urban,5,4,NA,1,23,3,3,3,2,1,12,4,1,4,4,4,17,17,17,12,12
1498,56,2,Rural,2,4,NA,5,NA,4,4,5,5,4,22,4,4,4,3,4,19,19,19,22,22
1500,67,1,Urban,3,4,NA,9,10,1,2,3,2,2,10,3,3,2,2,1,11,11,11,10,10
1501,51,2,Urban,5,1,20,1,NA,3,2,3,1,1,10,2,1,2,2,2,9,9,9,10,10
1505,41,2,Urban,5,1,45,1,26,4,2,3,3,1,13,2,2,2,2,2,10,10,10,13,13
1507,60,2,Urban,5,1,40,1,18,1,2,2,1,1,7,3,2,1,3,3,12,12,12,7,7
1508,53,1,Urban,5,2,32,5,23,3,2,3,3,2,13,2,4,2,2,1,11,11,11,13,13
1514,72,1,Urban,5,4,NA,1,13,2,3,4,2,2,13,2,2,3,3,3,13,13,13,13,13
1516,28,1,Urban,5,1,40,1,20,4,5,4,4,3,20,3,2,4,1,2,12,12,12,20,20
1517,67,2,Urban,5,4,NA,1,16,3,3,4,3,3,16,4,3,2,3,1,13,13,13,16,16
1518,45,2,Urban,6,1,41,1,NA,3,3,4,3,1,14,3,3,3,2,2,13,13,13,14,14
1519,73,2,Urban,2,4,NA,1,23,3,2,3,1,1,10,2,1,3,3,3,12,12,12,10,10
1520,28,1,Urban,5,1,50,5,NA,4,3,3,4,2,16,3,3,2,1,2,11,11,11,16,16
1523,44,1,Rural,5,1,60,1,24,5,4,3,3,2,17,2,2,3,3,3,13,13,13,17,17
1524,66,1,Urban,3,4,NA,1,20,1,2,3,1,1,8,2,3,2,1,2,10,10,10,8,8
1525,57,1,Urban,5,1,50,1,25,5,4,2,3,2,16,3,3,2,2,2,12,12,12,16,16
1526,64,1,Urban,3,4,NA,2,19,3,3,3,3,2,14,4,3,2,1,2,12,12,12,14,14
1532,32,1,Urban,5,1,38,5,17,2,2,3,2,3,12,2,2,3,1,2,10,10,10,12,12
1535,42,2,Rural,5,3,NA,1,15,2,2,3,3,2,12,3,2,1,1,3,10,10,10,12,12
1536,34,1,Urban,1,1,39.5,NA,NA,3,4,3,4,3,17,4,4,2,1,1,12,12,12,17,17
1537,43,2,Urban,3,1,38.5,5,23,3,2,3,3,2,13,3,3,3,3,2,14,14,14,13,13
1539,38,2,Rural,3,2,12,1,16,4,3,2,2,1,12,2,3,1,1,1,8,8,8,12,12
1540,43,2,Urban,5,2,25,1,21,4,2,3,3,1,13,3,3,3,2,2,13,13,13,13,13
1542,41,1,Rural,3,1,39.5,4,17,4,4,3,4,3,18,2,1,2,1,1,7,7,7,18,18
1543,44,2,Urban,4,1,40,1,23,3,2,2,3,1,11,2,2,3,3,3,13,13,13,11,11
1545,82,2,Urban,3,4,NA,1,NA,5,4,4,4,3,20,3,1,2,3,2,11,11,11,20,20
1546,36,2,Urban,4,1,40,5,15,4,4,4,4,2,18,2,2,2,2,2,10,10,10,18,18
1547,51,2,Urban,3,4,NA,1,18,2,3,4,4,2,15,2,2,1,3,2,10,10,10,15,15
1548,58,2,Rural,2,1,40,1,18,4,3,3,3,2,15,2,3,1,1,2,9,9,9,15,15
1549,81,1,Rural,3,NA,NA,1,14,3,2,2,3,2,12,3,2,3,3,2,13,13,13,12,12
1550,63,1,Urban,3,4,NA,1,9,4,4,5,3,2,18,4,1,1,3,1,10,10,10,18,18
1551,24,2,Urban,3,1,37.5,5,NA,5,3,5,4,3,20,3,3,2,2,2,12,12,12,20,20
1553,58,1,Rural,3,2,18,1,18,2,2,2,2,1,9,3,2,2,1,1,9,9,9,9,9
1554,67,2,Urban,3,4,NA,1,15,1,2,2,2,1,8,3,2,2,2,2,11,11,11,8,8
1555,81,1,Urban,5,4,NA,1,19,3,2,3,2,1,11,3,2,3,4,4,16,16,16,11,11
1558,71,1,Urban,5,3,NA,1,19,3,4,2,3,3,15,3,2,1,2,1,9,9,9,15,15
1559,50,2,Rural,3,1,42,1,19,4,2,2,2,1,11,3,2,3,4,3,15,15,15,11,11
1560,65,2,Rural,3,4,NA,1,18,1,2,4,3,3,13,4,1,4,4,3,16,16,16,13,13
1561,36,2,Urban,3,2,30,5,13,4,4,3,3,3,17,3,3,3,2,2,13,13,13,17,17
1562,45,2,Urban,3,2,20,1,21,4,4,4,4,2,18,2,1,1,1,2,7,7,7,18,18
1569,32,2,Urban,5,1,40,5,15,5,3,3,4,3,18,2,3,1,1,1,8,8,8,18,18
1570,89,2,Urban,3,4,NA,3,14,3,2,2,3,4,14,2,1,4,2,2,11,11,11,14,14
1571,47,2,Rural,3,2,30,1,NA,4,4,4,3,3,18,3,2,3,3,1,12,12,12,18,18
1572,44,2,Urban,4,2,20,5,11,2,3,3,4,5,17,2,3,2,3,3,13,13,13,17,17
1574,62,1,Urban,6,1,39,1,22,2,4,3,3,2,14,3,2,2,1,1,9,9,9,14,14
1575,49,2,Urban,3,1,39,5,15,4,2,3,3,2,14,4,4,1,1,1,11,11,11,14,14
1576,26,2,Urban,5,2,38.5,5,NA,4,3,4,3,1,15,3,3,3,1,1,11,11,11,15,15
1578,40,1,Urban,5,1,50,5,21,4,2,3,4,2,15,3,2,4,3,3,15,15,15,15,15
1580,52,2,Urban,3,1,41,5,19,4,3,3,4,3,17,4,1,1,4,2,12,12,12,17,17
1582,53,1,Urban,3,1,40,4,14,2,2,2,1,1,8,4,4,3,4,3,18,18,18,8,8
1584,61,2,Urban,5,1,50,1,NA,5,4,4,5,3,21,3,2,3,3,3,14,14,14,21,21
1585,56,1,Rural,5,1,60,1,25,3,3,3,3,1,13,2,2,3,3,3,13,13,13,13,13
1587,30,2,Urban,6,1,40,1,23,3,2,2,2,1,10,2,2,1,2,2,9,9,9,10,10
1589,28,1,Urban,5,2,50,5,23,5,4,3,3,1,16,3,3,2,2,2,12,12,12,16,16
1591,29,1,Urban,5,NA,NA,5,NA,4,2,2,1,1,10,3,2,2,3,2,12,12,12,10,10
1594,54,1,Rural,5,1,50,5,18,4,2,3,4,2,15,2,1,4,3,3,13,13,13,15,15
1595,57,1,Urban,3,1,50,1,24,4,3,2,1,1,11,1,1,1,2,3,8,8,8,11,11
1596,66,1,Urban,5,3,NA,1,24,2,2,2,2,1,9,2,2,3,3,2,12,12,12,9,9
1598,59,1,Rural,3,1,40,1,19,3,3,3,3,1,13,3,1,2,1,2,9,9,9,13,13
1602,57,2,Rural,5,2,40,1,16,4,4,3,4,3,18,3,2,3,2,1,11,11,11,18,18
1606,35,2,Urban,4,1,60,5,22,4,4,4,3,2,17,3,2,2,2,2,11,11,11,17,17
1608,21,1,Urban,3,4,NA,5,NA,2,3,4,4,4,17,3,4,1,2,1,11,11,11,17,17
1609,45,1,Rural,3,1,46,1,24,4,3,3,3,1,14,3,1,3,3,3,13,13,13,14,14
1612,48,2,Urban,2,2,20,1,11,3,4,3,2,5,17,4,4,4,4,1,17,17,17,17,17
1614,83,2,Urban,3,4,NA,NA,NA,2,2,3,2,3,12,3,4,2,3,2,14,14,14,12,12
1617,57,2,Urban,5,1,45,4,24,4,3,3,3,1,14,3,3,3,2,2,13,13,13,14,14
1618,30,1,Urban,3,1,39,1,21,4,4,4,3,1,16,3,2,3,3,3,14,14,14,16,16
1619,67,1,Rural,5,4,NA,5,9,4,3,3,4,3,17,4,2,1,3,2,12,12,12,17,17
1620,79,1,Urban,5,4,NA,5,14,2,4,4,3,3,16,3,2,3,2,2,12,12,12,16,16
1622,70,1,Rural,5,4,NA,4,12,2,2,3,3,3,13,1,3,2,4,2,12,12,12,13,13
1623,66,2,Urban,5,4,NA,1,14,4,4,3,4,2,17,4,1,1,1,2,9,9,9,17,17
1624,52,2,Rural,4,2,25,5,NA,2,2,3,3,1,11,4,3,1,1,1,10,10,10,11,11
1625,20,1,Urban,3,1,41,5,26,3,2,3,1,1,10,1,1,1,4,4,11,11,11,10,10
1627,52,2,Urban,3,2,35,1,19,4,3,4,2,2,15,3,4,1,1,1,10,10,10,15,15
1630,48,2,Rural,3,1,40.5,2,NA,4,3,3,3,2,15,3,2,2,3,3,13,13,13,15,15
1631,56,1,Urban,3,1,45,5,NA,3,3,4,3,2,15,3,2,3,3,2,13,13,13,15,15
1632,73,2,Urban,5,4,NA,1,17,1,2,3,2,1,9,2,2,3,3,3,13,13,13,9,9
1633,57,1,Urban,3,1,39,1,20,4,3,3,3,1,14,3,2,1,1,2,9,9,9,14,14
1634,39,2,Urban,3,1,45,1,22,4,4,4,3,1,16,3,2,2,3,3,13,13,13,16,16
1635,21,2,Urban,3,4,NA,5,8,4,3,2,4,3,16,2,2,3,1,1,9,9,9,16,16
1636,22,2,Rural,4,1,38.5,5,7,3,2,2,3,1,11,4,4,2,2,1,13,13,13,11,11
1638,70,2,Rural,3,4,NA,NA,5,3,3,4,3,4,17,4,4,1,2,1,12,12,12,17,17
1639,38,2,Rural,5,2,24,1,19,4,3,3,3,4,17,2,3,2,2,3,12,12,12,17,17
1640,60,1,Rural,5,1,40,1,19,1,1,4,3,2,11,2,2,3,3,2,12,12,12,11,11
1641,71,1,Urban,5,3,NA,1,21,2,2,2,1,1,8,3,2,2,3,3,13,13,13,8,8
1642,64,1,Rural,5,2,22,1,21,3,2,3,2,1,11,3,2,4,3,2,14,14,14,11,11
1643,78,1,Urban,5,4,NA,1,16,2,4,4,3,1,14,3,4,4,2,3,16,16,16,14,14
1645,79,2,Urban,2,4,NA,3,14,2,2,3,2,2,11,3,3,2,3,3,14,14,14,11,11
1646,27,1,Rural,5,1,42,5,19,3,4,3,4,5,19,3,3,1,2,2,11,11,11,19,19
1647,35,2,Urban,5,2,30,1,24,4,3,3,2,1,13,2,2,2,2,2,10,10,10,13,13
1648,28,2,Rural,5,4,NA,1,NA,3,3,4,4,1,15,1,2,1,3,3,10,10,10,15,15
1649,20,1,Rural,1,1,36.5,5,11,2,2,2,2,2,10,3,3,2,3,2,13,13,13,10,10
1650,56,1,Urban,5,1,35,1,24,2,2,3,2,1,10,2,1,2,2,2,9,9,9,10,10
1652,69,2,Urban,2,4,NA,1,15,3,2,1,1,2,9,3,2,4,3,1,13,13,13,9,9
1653,49,1,Rural,4,1,38.5,1,22,3,2,3,2,1,11,3,4,1,1,1,10,10,10,11,11
1654,62,2,Urban,3,2,20,1,18,3,4,4,4,3,18,3,4,2,2,3,14,14,14,18,18
1655,54,2,Urban,5,4,NA,4,10,1,2,3,1,1,8,4,4,2,3,2,15,15,15,8,8
1656,68,2,Urban,5,4,NA,1,24,3,4,5,4,3,19,3,4,2,1,2,12,12,12,19,19
1657,36,2,Urban,5,1,35,5,15,4,3,3,3,2,15,2,4,1,1,1,9,9,9,15,15
1658,51,2,Urban,5,1,40,4,11,3,2,3,2,1,11,2,3,1,2,2,10,10,10,11,11
1659,45,1,Urban,5,2,NA,1,23,3,2,2,2,1,10,2,4,2,3,3,14,14,14,10,10
1660,46,1,Urban,5,1,40,1,23,2,2,3,2,1,10,3,3,2,2,1,11,11,11,10,10
1661,43,2,Urban,5,2,23.5,1,NA,4,2,2,2,1,11,2,4,1,1,1,9,9,9,11,11
1663,83,2,Rural,2,4,NA,1,12,2,3,4,4,4,17,2,3,1,1,1,8,8,8,17,17
1664,65,2,Urban,3,4,NA,1,NA,2,4,3,2,2,13,3,2,2,3,3,13,13,13,13,13
1667,31,1,Urban,5,2,45,1,15,3,2,3,1,2,11,2,2,1,1,1,7,7,7,11,11
1669,23,2,Urban,5,1,42.5,5,18,5,3,3,4,1,16,2,3,2,1,3,11,11,11,16,16
1671,46,1,Urban,6,1,50,1,NA,3,3,2,4,1,13,3,4,1,1,1,10,10,10,13,13
1673,53,1,Urban,5,1,48,5,NA,4,4,4,4,2,18,2,4,2,2,1,11,11,11,18,18
1676,20,2,Urban,3,4,NA,5,13,5,3,3,4,2,17,1,2,2,3,3,11,11,11,17,17
1678,73,2,Rural,5,4,NA,1,19,4,4,3,2,1,14,3,2,4,3,3,15,15,15,14,14
1680,80,2,Urban,3,4,NA,1,14,3,3,4,3,1,14,4,3,4,3,1,15,15,15,14,14
1682,66,2,Urban,3,4,NA,1,17,3,2,2,2,2,11,4,3,2,1,2,12,12,12,11,11
1684,51,1,NA,3,1,40,5,12,5,3,3,3,4,18,3,3,2,2,2,12,12,12,18,18
1685,19,2,Urban,3,3,NA,5,NA,3,2,3,3,2,13,3,3,2,1,1,10,10,10,13,13
1687,31,1,Urban,3,1,41.5,1,21,4,3,3,2,1,13,3,4,2,2,1,12,12,12,13,13
1688,67,2,Rural,5,4,NA,3,18,3,3,3,3,3,15,4,4,1,1,1,11,11,11,15,15
1689,42,2,Urban,5,2,27.6,1,22,4,3,3,3,1,14,3,4,1,1,1,10,10,10,14,14
1692,67,1,Urban,5,4,NA,1,20,3,1,2,2,1,9,4,2,3,3,3,15,15,15,9,9
1693,19,1,Urban,3,4,NA,NA,NA,2,2,2,2,1,9,3,3,1,2,3,12,12,12,9,9
1695,44,1,Urban,3,4,NA,1,NA,3,3,3,4,3,16,3,4,3,2,2,14,14,14,16,16
1697,27,2,Urban,5,1,39,5,21,2,2,3,3,1,11,2,1,3,3,3,12,12,12,11,11
1699,39,2,Urban,3,2,20,1,18,3,2,2,1,1,9,3,1,2,2,2,10,10,10,9,9
1700,38,2,Urban,5,1,40,1,25,3,2,3,3,1,12,2,1,1,2,1,7,7,7,12,12
1702,65,1,Rural,5,3,NA,1,22,2,2,2,1,1,8,2,3,3,2,2,12,12,12,8,8
1703,60,2,Urban,5,1,40,1,24,4,3,4,3,2,16,3,2,1,3,2,11,11,11,16,16
1704,50,1,Rural,3,1,39,4,16,4,4,4,5,4,21,2,3,3,2,4,14,14,14,21,21
1705,36,2,Rural,3,2,30,1,23,5,3,3,3,1,15,3,4,3,3,2,15,15,15,15,15
1706,41,2,Urban,6,1,40,5,22,5,3,3,4,3,18,3,2,1,1,1,8,8,8,18,18
1707,65,1,Urban,1,4,NA,NA,NA,1,5,5,1,1,13,1,4,1,4,1,11,11,11,13,13
1710,73,2,Urban,5,4,NA,1,19,3,2,2,2,3,12,3,4,2,2,2,13,13,13,12,12
1711,84,1,Urban,5,4,NA,1,10,2,3,2,3,1,11,4,4,4,4,2,18,18,18,11,11
1712,32,1,Urban,5,1,52.5,1,23,3,2,2,1,1,9,1,2,3,3,3,12,12,12,9,9
1713,68,1,Urban,5,4,NA,1,NA,3,4,4,3,1,15,3,2,2,2,2,11,11,11,15,15
1714,53,1,Urban,5,2,19,1,NA,3,3,3,2,1,12,3,2,1,2,2,10,10,10,12,12
1715,67,1,Urban,3,4,NA,1,22,1,1,2,1,1,6,3,4,2,1,1,11,11,11,6,6
1716,67,2,Urban,6,4,NA,1,18,3,3,3,3,1,13,2,3,2,3,1,11,11,11,13,13
1717,25,1,Rural,4,1,36,5,24,4,4,3,4,3,18,2,2,3,3,3,13,13,13,18,18
1718,62,2,Rural,5,1,50,1,24,3,3,2,2,2,12,1,1,1,3,3,9,9,9,12,12
1727,75,1,NA,6,3,NA,1,NA,2,2,3,2,2,11,2,3,3,3,3,14,14,14,11,11
1728,19,2,Rural,3,1,40.5,5,NA,4,3,3,3,3,16,2,3,1,1,2,9,9,9,16,16
1731,53,2,Urban,5,1,41,5,24,4,5,5,4,3,21,1,1,4,4,4,14,14,14,21,21
1732,69,2,Rural,3,4,NA,1,23,4,3,2,2,3,14,3,3,2,3,2,13,13,13,14,14
1733,69,1,Urban,3,4,NA,3,10,2,3,3,3,5,16,4,1,4,4,1,14,14,14,16,16
1734,NA,2,Rural,3,2,30,1,15,3,2,4,3,3,15,2,3,2,2,2,11,11,11,15,15
1735,82,2,Rural,5,4,NA,3,20,2,2,3,2,4,13,3,1,3,2,2,11,11,11,13,13
1737,41,2,Urban,3,1,32,5,20,4,3,4,3,1,15,2,2,1,1,1,7,7,7,15,15
1739,36,2,Urban,4,1,37,5,12,3,3,3,3,3,15,2,4,1,2,2,11,11,11,15,15
1740,55,2,Rural,5,2,30,1,21,4,3,3,3,1,14,3,4,2,2,2,13,13,13,14,14
1742,67,1,Rural,3,4,NA,1,NA,3,3,3,3,3,15,3,3,3,2,1,12,12,12,15,15
1743,56,2,Rural,2,1,37.5,1,24,3,3,4,2,1,13,3,1,4,3,3,14,14,14,13,13
1745,66,2,Rural,3,4,NA,1,15,3,1,3,2,2,11,3,4,3,4,3,17,17,17,11,11
1746,47,1,Rural,5,1,40,1,22,3,5,5,3,4,20,1,1,1,2,3,8,8,8,20,20
1747,40,1,Rural,3,1,60,1,19,3,3,3,2,2,13,2,3,2,2,2,11,11,11,13,13
1748,41,2,Urban,3,1,40,5,17,5,5,5,4,2,21,4,1,1,1,1,8,8,8,21,21
1749,66,1,Urban,5,3,NA,1,17,1,1,1,1,1,5,4,1,4,4,4,17,17,17,5,5
1751,61,2,Urban,6,1,60,1,26,4,3,3,4,4,18,4,3,1,1,1,10,10,10,18,18
1753,85,1,Rural,3,4,NA,4,6,3,2,2,2,3,12,3,4,3,3,3,16,16,16,12,12
1754,27,1,NA,5,1,60,1,NA,4,3,2,4,1,14,2,1,3,2,2,10,10,10,14,14
1756,58,2,Rural,3,2,30,1,21,3,2,2,1,1,9,2,3,2,2,2,11,11,11,9,9
1757,79,1,Rural,3,4,NA,1,18,1,4,4,4,3,16,2,4,4,4,3,17,17,17,16,16
1760,27,2,Rural,3,1,32.5,1,20,3,2,3,2,1,11,2,1,4,4,3,14,14,14,11,11
1761,65,1,Urban,3,4,NA,3,19,3,4,4,3,4,18,3,3,2,2,1,11,11,11,18,18
1762,61,1,Rural,3,1,40,5,11,1,1,2,1,1,6,3,2,3,3,1,12,12,12,6,6
1763,63,1,Rural,5,1,40,1,12,3,2,3,2,2,12,3,2,3,1,1,10,10,10,12,12
1764,85,2,Rural,3,4,NA,3,12,2,2,3,3,4,14,3,4,1,1,2,11,11,11,14,14
1767,46,2,Urban,5,1,40,5,14,3,2,2,1,2,10,3,4,2,1,1,11,11,11,10,10
1770,34,1,Urban,5,1,60,5,19,3,2,2,3,3,13,3,2,2,2,2,11,11,11,13,13
1773,42,1,Rural,5,1,40,1,23,3,2,3,2,2,12,2,2,3,2,2,11,11,11,12,12
1775,80,2,Urban,5,4,NA,1,16,4,2,3,3,2,14,3,4,3,4,3,17,17,17,14,14
1776,22,2,Rural,3,1,40,5,21,4,3,3,2,2,14,3,3,1,2,2,11,11,11,14,14
1777,33,1,Urban,4,3,NA,1,15,5,3,4,3,1,16,4,4,1,1,1,11,11,11,16,16
1778,27,1,Rural,5,4,NA,5,12,1,2,3,2,3,11,2,2,2,3,2,11,11,11,11,11
1780,66,1,Urban,5,4,NA,4,13,1,2,4,2,3,12,4,3,1,1,1,10,10,10,12,12
1781,71,2,Urban,3,4,NA,5,NA,2,2,2,1,1,8,3,3,2,3,3,14,14,14,8,8
1783,35,1,Urban,5,1,41,5,19,4,2,2,2,1,11,2,2,2,2,2,10,10,10,11,11
1784,64,2,Rural,5,3,NA,1,16,3,2,2,3,2,12,2,3,3,2,1,11,11,11,12,12
1785,70,2,Urban,3,4,NA,4,15,2,2,2,2,3,11,3,4,1,2,1,11,11,11,11,11
1786,78,2,Urban,3,4,NA,1,15,2,4,3,2,2,13,4,3,3,2,3,15,15,15,13,13
1787,75,2,Urban,3,4,NA,1,14,2,2,2,1,1,8,4,1,3,3,1,12,12,12,8,8
1788,51,2,Urban,5,2,30,2,NA,3,4,4,3,1,15,2,3,2,2,2,11,11,11,15,15
1790,48,2,Urban,4,2,24,1,NA,1,2,3,3,2,11,2,2,2,2,2,10,10,10,11,11
